Run file: 200602.1550.std.7.frag.train_C2Cl4
#############################################
Compound index: 0
Average retention time, seconds: 1856.84
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C2Cl4+: 	71.99	1.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
20.0404	1856.83	32833.95	100.0	165.871999	165.871912	27.6	-0.5	C2Cl3[37Cl]+	1.0	32734.32	0.997	EI
15.6627	1856.80	25587.08	77.9	163.874689	163.874862	28.6	1.1	C2Cl4+	1.0	25583.61	1.000	EI
14.3653	1856.82	23468.38	71.5	128.905699	128.906010	28.4	2.4	C2Cl3+	1.5	23464.54	1.000	EI
13.7854	1856.83	23104.04	70.4	130.902841	130.903059	28.7	1.7	C2Cl2[37Cl]+	1.5	22517.22	0.975	EI
9.6157	1856.85	15847.47	48.3	167.868741	167.868962	30.3	1.3	C2Cl2[37Cl]2+	1.0	15706.38	0.991	EI
5.7457	1856.79	9385.23	28.6	93.936376	93.937157	31.4	8.3	C2Cl2+	2.0	9385.04	1.000	EI
4.4045	1856.86	7194.30	21.9	132.899810	132.900109	36.2	2.3	C2Cl[37Cl]2+	1.5	7194.30	1.000	EI
3.6758	1856.82	6307.60	19.2	95.933686	95.934207	33.7	5.4	C2Cl[37Cl]+	2.0	6004.09	0.952	EI
2.5719	1857.04	4200.97	12.8	46.968330	46.968304	48.1	-0.6	CCl+	1.5	4200.96	1.000	EI
1.9943	1856.85	3257.52	9.9	169.865735	169.866012	42.8	1.6	C2Cl[37Cl]3+	1.0	3257.52	1.000	EI
1.8885	1856.83	3084.74	9.4	58.967995	58.968304	43.4	5.2	C2Cl+	2.5	3084.73	1.000	EI
1.2227	1857.60	1997.25	6.1	34.968507	34.968304	38.8	-5.8	Cl+	0.5	1997.24	1.000	EI
1.1805	1856.73	1928.23	5.9	81.936877	81.937157	80.7	3.4	CCl2+	1.0	1928.20	1.000	EI
0.6900	1856.90	1127.06	3.4	83.933418	83.934207	60.1	9.4	CCl[37Cl]+	1.0	1127.06	1.000	EI
0.3855	1856.79	629.65	1.9	134.896861	134.897159	64.5	2.2	C2[37Cl]3+	1.5	629.65	1.000	EI
0.3006	1856.73	490.97	1.5	166.874284	166.875267	74.8	5.9	C[13C]Cl3[37Cl]+	1.0	490.97	1.000	EI
0.2614	1856.83	426.99	1.3	129.908697	129.909364	78.7	5.1	C[13C]Cl3+	1.5	426.99	1.000	EI
0.2608	1856.66	426.02	1.3	131.906081	131.906414	95.4	2.5	C[13C]Cl2[37Cl]+	1.5	426.02	1.000	EI
0.2372	1856.94	387.46	1.2	164.879235	164.878217	97.4	-6.2	C[13C]Cl4+	1.0	387.46	1.000	EI
0.23	1856.80	378.96	1.2	82.937249	0.0	55.8	0.0	unidentified	0.0	378.96	1.000	EI
0.1946	1856.54	317.87	1.0	168.870539	168.872317	82.2	10.5	C[13C]Cl2[37Cl]2+	1.0	317.87	1.000	EI
0.1287	1856.99	270.50	0.8	94.939752	94.940512	133.2	8.0	C[13C]Cl2+	2.0	210.26	0.777	EI
0.1255	1857.04	204.92	0.6	171.860866	171.863062	91.4	12.8	C2[37Cl]4+	1.0	204.92	1.000	EI
0.0872	1857.45	142.48	0.4	85.931772	85.931257	194.4	-6.0	C[37Cl]2+	1.0	142.48	1.000	EI
0.0847	1857.36	138.40	0.4	116.905242	116.906010	105.8	6.6	CCl3+	0.5	138.39	1.000	EI
0.0813	1856.89	203.37	0.6	118.904619	118.903059	137.1	-13.1	CCl2[37Cl]+	0.5	132.81	0.653	EI
