Run file: 200602.1550.std.7.frag.train_C2HCl3
#############################################
Compound index: 0
Average retention time, seconds: 1745.06
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
HC2Cl3+: 	40.85	1.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
22.1943	1745.08	8659.56	100.0	129.913142	129.913835	32.4	5.3	HC2Cl3+	1.0	8659.02	1.000	EI
21.2982	1745.03	8495.86	98.1	131.909991	131.910884	31.9	6.8	HC2Cl2[37Cl]+	1.0	8309.43	0.978	EI
19.6603	1745.04	7670.90	88.6	94.943849	94.944982	29.7	11.9	HC2Cl2+	1.5	7670.40	1.000	EI
12.5777	1745.14	4980.44	57.5	96.941034	96.942032	40.3	10.3	HC2Cl[37Cl]+	1.5	4907.15	0.985	EI
6.6086	1745.04	2578.32	29.8	133.906805	133.907934	42.0	8.4	HC2Cl[37Cl]2+	1.0	2578.32	1.000	EI
6.2219	1745.07	2427.45	28.0	59.975181	59.976129	50.8	15.8	HC2Cl+	2.0	2427.44	1.000	EI
1.8416	1745.05	718.49	8.3	98.938306	98.939082	67.1	7.8	HC2[37Cl]2+	1.5	718.49	1.000	EI
1.7259	1745.08	673.36	7.8	61.972399	61.973179	68.3	12.6	HC2[37Cl]+	2.0	673.36	1.000	EI
1.4808	1745.03	579.84	6.7	93.936969	93.937157	67.0	2.0	C2Cl2+	2.0	577.74	0.996	EI
1.1705	1745.16	456.65	5.3	46.968285	46.968304	95.2	0.4	CCl+	1.5	456.65	1.000	EI
0.9474	1745.01	511.63	5.9	95.936734	95.934207	92.8	-26.3	C2Cl[37Cl]+	2.0	369.61	0.722	EI
0.8834	1744.92	344.72	4.0	58.967558	58.968304	95.5	12.6	C2Cl+	2.5	344.67	1.000	EI
0.4405	1745.01	511.63	5.9	95.936734	95.948337	92.8	120.9	HC[13C]Cl2+	1.5	171.85	0.336	EI
0.3643	1745.31	142.14	1.6	135.905571	135.904984	105.8	-4.3	HC2[37Cl]3+	1.0	142.14	1.000	EI
0.3556	1744.94	138.72	1.6	48.965728	48.965354	257.4	-7.6	C[37Cl]+	1.5	138.72	1.000	EI
0.2826	1744.91	128.38	1.5	60.968973	60.965354	242.8	-59.4	C2[37Cl]+	2.5	110.25	0.859	EI
0.2818	1744.71	152.95	1.8	97.938727	97.945387	152.2	68.0	HC[13C]Cl[37Cl]+	1.5	109.94	0.719	EI
0.2635	1745.31	102.80	1.2	81.935593	81.937157	114.3	19.1	CCl2+	1.0	102.80	1.000	EI
0.19	1744.64	74.95	0.9	65.956164	0.0	37.7	0.0	unidentified	0.0	74.95	1.000	EI
0.1686	1745.35	67.10	0.8	83.934846	83.934207	152.8	-7.6	CCl[37Cl]+	1.0	65.77	0.980	EI
0.1538	1744.97	60.00	0.7	132.910567	132.914239	116.4	27.6	HC[13C]Cl2[37Cl]+	1.0	60.00	1.000	EI
0.1515	1744.71	152.95	1.8	97.938727	97.931257	152.2	-76.3	C2[37Cl]2+	2.0	59.11	0.386	EI
0.1394	1744.91	128.38	1.5	60.968973	60.979484	242.8	172.4	HC[13C]Cl+	2.0	54.38	0.424	EI
0.13	1745.09	50.40	0.6	64.958414	0.0	76.5	0.0	unidentified	0.0	50.40	1.000	EI
