Run file: 200602.1550.std.7.frag.train_C6F14
#############################################
Compound index: 0
Average retention time, seconds: 1625.41
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C4F10+: 	39.04	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
52.1141	1625.46	27516.22	100.0	68.993563	68.994661	25.8	15.9	CF3+	0.5	27512.95	1.000	EI
11.2573	1625.31	5946.05	21.6	168.987191	168.988274	29.2	6.4	C3F7+	0.5	5943.13	1.000	EI
9.7252	1625.52	5134.69	18.7	130.990477	130.991467	29.7	7.6	C3F5+	1.5	5134.30	1.000	EI
9.0415	1625.13	4774.45	17.4	118.990073	118.991467	30.7	11.7	C2F5+	0.5	4773.35	1.000	EI
3.8454	1625.44	2030.12	7.4	218.983733	218.985080	42.3	6.2	C4F9+	0.5	2030.12	1.000	EI
3.78	1625.49	1996.07	7.3	230.983330	0.0	12.0	0.0	unidentified	0.0	1996.07	1.000	EI
3.3599	1625.39	1773.80	6.4	99.991780	99.993064	36.1	12.8	C2F4+	1.0	1773.80	1.000	EI
2.7557	1625.52	1456.23	5.3	180.987234	180.988274	34.8	5.7	C4F7+	1.5	1454.81	0.999	EI
1.0388	1625.26	548.40	2.0	92.993462	92.994661	49.5	12.9	C3F3+	2.5	548.40	1.000	EI
0.8182	1625.47	431.96	1.6	30.997569	30.997855	108.7	9.2	CF+	1.5	431.96	1.000	EI
0.6351	1625.48	335.28	1.2	149.989263	149.989870	82.4	4.0	C3F6+	1.0	335.28	1.000	EI
0.3510	1625.43	185.32	0.7	111.990470	111.993064	81.4	23.2	C3F4+	2.0	185.30	1.000	EI
0.3037	1625.36	160.35	0.6	131.993726	131.994822	95.0	8.3	C2[13C]F5+	1.5	160.35	1.000	EI
0.2156	1625.38	113.80	0.4	169.990086	169.991628	82.6	9.1	C2[13C]F7+	0.5	113.80	1.000	EI
0.1792	1625.81	94.60	0.3	199.983334	199.986677	120.6	16.7	C4F8+	1.0	94.60	1.000	EI
0.1725	1624.89	147.19	0.5	219.982319	219.988435	77.4	27.8	C3[13C]F9+	0.5	91.08	0.619	EI
0.1095	1625.46	57.79	0.2	80.994304	80.994661	146.1	4.4	C2F3+	1.5	57.79	1.000	EI
0.1089	1625.48	57.49	0.2	119.994867	119.994822	111.8	-0.4	C[13C]F5+	0.5	57.49	1.000	EI
0.0641	1625.77	33.85	0.1	181.990443	181.991628	113.8	6.5	C3[13C]F7+	1.5	33.85	1.000	EI
