Run file: 200602.1550.std.7.frag.train_C6H6
#############################################
Compound index: 0
Average retention time, seconds: 1862.39
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H6C6+: 	59.83	4.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
49.2951	1862.39	1565513.78	100.0	78.045955	78.046402	25.2	5.7	H6C6+	4.0	1539899.73	0.984	EI
12.4319	1862.41	393521.62	25.1	77.038022	77.038577	25.5	7.2	H5C6+	4.5	388352.07	0.987	EI
6.7137	1862.39	218071.10	13.9	52.030451	52.030752	25.6	5.8	H4C4+	3.0	209725.31	0.962	EI
6.2463	1862.40	202741.74	13.0	51.022584	51.022927	25.8	6.7	H3C4+	3.5	195125.54	0.962	EI
5.8327	1862.39	182203.56	11.6	50.014956	50.015101	25.6	2.9	H2C4+	4.0	182203.56	1.000	EI
3.2505	1862.34	101540.73	6.5	79.049219	79.049756	25.9	6.8	H6C5[13C]+	4.0	101540.73	1.000	EI
2.9362	1862.39	91733.25	5.9	39.022959	39.022927	26.3	-0.8	H3C3+	2.5	91721.60	1.000	EI
2.5336	1862.39	80652.51	5.2	76.030060	76.030752	26.2	9.1	H4C6+	5.0	79144.20	0.981	EI
2.4037	1862.40	75102.82	4.8	74.014343	74.015101	26.3	10.2	H2C6+	6.0	75088.48	1.000	EI
1.3382	1862.35	41807.89	2.7	63.022050	63.022927	34.2	13.9	H3C5+	4.5	41802.38	1.000	EI
0.9080	1862.38	28948.67	1.8	38.015116	38.015101	30.5	-0.4	H2C3+	3.0	28364.36	0.980	EI
0.8356	1862.39	1565513.78	100.0	78.045955	78.041931	25.2	-51.6	H5C5[13C]+	4.5	26102.14	0.017	EI
0.7678	1862.41	23985.67	1.5	73.006649	73.007276	29.1	8.6	HC6+	6.5	23985.67	1.000	EI
0.7639	1862.30	23861.97	1.5	49.006740	49.007276	32.9	10.9	HC4+	4.5	23861.97	1.000	EI
0.7011	1862.39	26801.95	1.7	75.021462	75.022927	28.8	19.5	H3C6+	5.5	21902.03	0.817	EI
0.6258	1862.41	19552.19	1.2	37.007289	37.007276	30.5	-0.3	HC3+	3.5	19549.81	1.000	EI
0.3154	1861.39	9938.53	0.6	27.022796	27.022927	32.0	4.8	H3C2+	1.5	9851.44	0.991	EI
0.2894	1862.38	9038.93	0.6	53.034540	53.034106	40.3	-8.2	H4C3[13C]+	3.0	9038.93	1.000	EI
0.2799	1862.39	218071.10	13.9	52.030451	52.026281	25.6	-80.1	H3C3[13C]+	3.5	8743.26	0.040	EI
0.2614	1862.40	202741.74	13.0	51.022584	51.018456	25.8	-80.9	H2C3[13C]+	4.0	8164.35	0.040	EI
0.2612	1862.10	8300.27	0.5	61.006356	61.007276	47.0	15.1	HC5+	5.5	8159.43	0.983	EI
0.1703	1862.41	393521.62	25.1	77.038022	77.034106	25.5	-50.8	H4C5[13C]+	5.0	5319.49	0.014	EI
0.1616	1862.39	26801.95	1.7	75.021462	75.018456	28.8	-40.1	H2C5[13C]+	6.0	5046.89	0.188	EI
0.1423	1862.16	4445.92	0.3	26.015057	26.015101	38.7	1.7	H2C2+	2.0	4445.87	1.000	EI
0.0910	1862.31	2843.64	0.2	80.053325	80.053111	53.0	-2.7	H6C4[13C]2+	4.0	2843.64	1.000	EI
0.0869	1862.29	2713.29	0.2	40.027778	40.026281	55.9	-37.4	H3C2[13C]+	2.5	2713.29	1.000	EI
0.0716	1862.50	2237.46	0.1	64.025398	64.026281	58.4	13.8	H3C4[13C]+	4.5	2237.46	1.000	EI
0.0698	1862.34	2180.20	0.1	59.998315	59.999451	68.2	18.9	C5+	6.0	2180.20	1.000	EI
0.0616	1862.42	1923.10	0.1	35.999431	35.999451	54.5	0.6	C3+	4.0	1923.10	1.000	EI
0.0615	1862.40	75102.82	4.8	74.014343	74.010631	26.3	-50.1	HC5[13C]+	6.5	1921.60	0.026	EI
