Run file: 200602.1550.std.7.frag.train_CCl4
#############################################
Compound index: 0
Average retention time, seconds: 1708.28
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
HCCl3+: 	65.13	0.0	True
CCl4+: 	64.04	0.0	True
H2CCl2+: 	12.83	0.0	True
COCl2+: 	9.64	1.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
32.2983	1708.28	28974.71	99.6	116.904694	116.906010	27.7	11.3	CCl3+	0.5	28971.70	1.000	EI
30.9944	1708.28	29078.73	100.0	118.901780	118.903059	28.2	10.8	CCl2[37Cl]+	0.5	27802.05	0.956	EI
9.9144	1708.26	9220.20	31.7	120.898582	120.900109	32.3	12.6	CCl[37Cl]2+	0.5	8893.20	0.965	EI
6.8684	1708.22	6160.97	21.2	81.935761	81.937157	39.3	17.0	CCl2+	1.0	6160.97	1.000	EI
4.3952	1708.23	3956.19	13.6	83.933197	83.934207	41.7	12.0	CCl[37Cl]+	1.0	3942.50	0.997	EI
4.2191	1708.35	3784.50	13.0	46.967840	46.968304	40.4	9.9	CCl+	1.5	3784.50	1.000	EI
3.0346	1708.39	2722.20	9.4	34.968240	34.968304	36.5	1.8	Cl+	0.5	2722.08	1.000	EI
1.3298	1708.10	1192.81	4.1	48.964931	48.965354	59.7	8.6	C[37Cl]+	1.5	1192.81	1.000	EI
1.1699	1708.76	1051.69	3.6	35.975414	35.976129	50.7	19.9	HCl+	0.0	1049.41	0.998	EI
0.9885	1708.23	886.67	3.0	122.895915	122.897159	72.5	10.1	C[37Cl]3+	0.5	886.67	1.000	EI
0.9707	1708.34	914.66	3.1	36.965237	36.965354	46.5	3.2	[37Cl]+	0.5	870.73	0.952	EI
0.6291	1708.30	564.31	1.9	85.931170	85.931257	87.6	1.0	C[37Cl]2+	1.0	564.31	1.000	EI
0.3181	1707.09	319.25	1.1	82.944167	82.944982	77.1	9.8	HCCl2+	0.5	285.37	0.894	EI
0.2113	1708.27	189.53	0.7	117.907758	117.909364	116.6	13.6	[13C]Cl3+	0.5	189.53	1.000	EI
0.2029	1708.32	182.03	0.6	119.906621	119.906414	89.1	-1.7	[13C]Cl2[37Cl]+	0.5	182.03	1.000	EI
0.1563	1708.49	140.23	0.5	84.948188	84.942032	263.6	-72.5	HCCl[37Cl]+	0.5	140.23	1.000	EI
0.1496	1708.28	134.15	0.5	97.930758	97.932071	78.2	13.4	COCl2+	1.0	134.15	1.000	EI
0.13	1707.83	120.66	0.4	59.965219	0.0	35.6	0.0	unidentified	0.0	120.66	1.000	EI
0.0957	1708.06	106.78	0.4	99.923737	99.929121	170.0	53.9	COCl[37Cl]+	1.0	85.82	0.804	EI
