Run file: 200602.1550.std.7.frag.train_CFC11
#############################################
Compound index: 0
Average retention time, seconds: 1572.09
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
CFCl3+: 	88.27	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
46.0921	1572.09	922655.91	100.0	100.934571	100.935560	25.2	9.8	CFCl2+	0.5	922626.89	1.000	EI
29.4875	1572.09	620557.75	67.3	102.931660	102.932610	25.4	9.2	CFCl[37Cl]+	0.5	590252.18	0.951	EI
4.7162	1572.11	96077.16	10.4	104.928481	104.929660	25.9	11.2	CF[37Cl]2+	0.5	94403.72	0.983	EI
4.3014	1572.09	86100.78	9.3	65.965709	65.966707	25.6	15.1	CFCl+	1.0	86100.78	1.000	EI
2.2644	1572.09	45326.75	4.9	46.967852	46.968304	26.9	9.6	CCl+	1.5	45326.75	1.000	EI
1.7252	1572.10	34532.91	3.7	34.968105	34.968304	26.8	5.7	Cl+	0.5	34532.91	1.000	EI
1.4844	1572.09	29713.56	3.2	81.936078	81.937157	27.2	13.2	CCl2+	1.0	29713.20	1.000	EI
1.3759	1572.10	28528.39	3.1	67.962679	67.963757	27.6	15.9	CF[37Cl]+	1.0	27541.57	0.965	EI
1.1112	1572.11	22245.79	2.4	30.997716	30.997855	28.3	4.5	CF+	1.5	22243.09	1.000	EI
0.9496	1572.10	19743.08	2.1	83.932982	83.934207	27.4	14.6	CCl[37Cl]+	1.0	19009.07	0.963	EI
0.9449	1572.08	18917.33	2.1	116.904739	116.906010	26.9	10.9	CCl3+	0.5	18915.03	1.000	EI
0.9068	1572.11	18600.24	2.0	118.901672	118.903059	27.7	11.7	CCl2[37Cl]+	0.5	18151.39	0.976	EI
0.7244	1572.10	15441.67	1.7	48.964778	48.965354	29.5	11.8	C[37Cl]+	1.5	14499.51	0.939	EI
0.5518	1572.09	11750.29	1.3	36.965152	36.965354	28.3	5.5	[37Cl]+	0.5	11046.27	0.940	EI
0.4774	1572.02	9555.61	1.0	101.937555	101.938915	31.5	13.3	[13C]FCl2+	0.5	9555.61	1.000	EI
0.3137	1572.02	6279.69	0.7	103.934360	103.935965	32.3	15.4	[13C]FCl[37Cl]+	0.5	6279.69	1.000	EI
0.2901	1572.10	5861.24	0.6	120.898468	120.900109	33.3	13.6	CCl[37Cl]2+	0.5	5806.19	0.991	EI
0.1519	1572.06	3130.80	0.3	85.929813	85.931257	35.8	16.8	C[37Cl]2+	1.0	3040.27	0.971	EI
0.08	1572.71	1504.74	0.2	35.975697	0.0	15.1	0.0	unidentified	0.0	1504.74	1.000	EI
0.0528	1572.15	1170.79	0.1	105.932198	105.933015	55.2	7.7	[13C]F[37Cl]2+	0.5	1057.52	0.903	EI
0.0482	1571.94	1272.45	0.1	66.970259	66.970062	64.5	-2.9	[13C]FCl+	1.0	964.51	0.758	EI
0.0297	1572.05	594.23	0.1	122.895042	122.897159	53.4	17.2	C[37Cl]3+	0.5	594.23	1.000	EI
0.0254	1571.97	676.30	0.1	47.969466	47.971659	78.0	45.7	[13C]Cl+	1.5	507.77	0.751	EI
0.02	1572.48	421.93	0.0	37.972529	0.0	30.2	0.0	unidentified	0.0	421.93	1.000	EI
0.0155	1571.97	309.56	0.0	82.939680	82.940512	87.3	10.0	[13C]Cl2+	1.0	309.56	1.000	EI
0.0087	1571.84	173.54	0.0	119.906992	119.906414	103.6	-4.8	[13C]Cl2[37Cl]+	0.5	173.54	1.000	EI
0.0080	1572.43	161.00	0.0	49.968911	49.968709	123.5	-4.0	[13C][37Cl]+	1.5	161.00	1.000	EI
0.0071	1572.06	141.56	0.0	84.938481	84.937562	94.4	-10.8	[13C]Cl[37Cl]+	1.0	141.56	1.000	EI
0.0048	1571.68	95.55	0.0	117.906108	117.909364	83.8	27.6	[13C]Cl3+	0.5	95.55	1.000	EI
0.0038	1572.32	75.41	0.0	53.968907	53.966707	260.3	-40.8	FCl+	0.0	75.08	0.996	EI
0.0025	1572.20	49.59	0.0	135.904856	135.904413	113.9	-3.3	CFCl3+	0.0	49.59	1.000	EI
0.0019	1572.03	38.27	0.0	137.906589	137.901463	118.6	-37.2	CFCl2[37Cl]+	0.0	38.27	1.000	EI
