Run file: 200602.1550.std.7.frag.train_CFC113
#############################################
Compound index: 0
Average retention time, seconds: 1650.51
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C2F3Cl3+: 	74.63	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
21.8940	1650.51	323414.55	100.0	100.934659	100.935560	25.5	8.9	CFCl2+	0.5	323399.10	1.000	EI
20.4560	1650.52	302207.42	93.4	150.932060	150.932366	25.5	2.0	C2F3Cl2+	0.5	302158.20	1.000	EI
14.0067	1650.52	209524.60	64.8	102.931655	102.932610	25.6	9.3	CFCl[37Cl]+	0.5	206895.14	0.987	EI
12.9691	1650.52	191568.11	59.2	152.928977	152.929416	25.6	2.9	C2F3Cl[37Cl]+	0.5	191568.11	1.000	EI
7.9953	1650.51	118136.52	36.5	84.964057	84.965110	25.6	12.4	CF2Cl+	0.5	118099.08	1.000	EI
2.5551	1650.50	37741.17	11.7	86.961005	86.962160	26.2	13.3	CF2[37Cl]+	0.5	37741.17	1.000	EI
2.2970	1650.52	33929.69	10.5	65.965767	65.966707	26.5	14.2	CFCl+	1.0	33929.69	1.000	EI
2.2008	1650.51	32507.67	10.1	104.928429	104.929660	27.0	11.7	CF[37Cl]2+	0.5	32507.67	1.000	EI
1.9375	1650.50	28618.92	8.8	154.925524	154.926466	27.2	6.1	C2F3[37Cl]2+	0.5	28618.92	1.000	EI
1.6939	1650.50	25042.18	7.7	115.962415	115.963514	26.5	9.5	C2F3Cl+	1.0	25020.89	0.999	EI
1.2734	1650.51	18811.80	5.8	30.997759	30.997855	27.7	3.1	CF+	1.5	18809.51	1.000	EI
1.1567	1650.51	17250.23	5.3	46.967920	46.968304	29.9	8.2	CCl+	1.5	17085.81	0.990	EI
0.7439	1650.51	10990.27	3.4	116.905156	116.906010	28.7	7.3	CCl3+	0.5	10988.59	1.000	EI
0.7405	1650.50	11761.85	3.6	67.962731	67.963757	32.6	15.1	CF[37Cl]+	1.0	10938.37	0.930	EI
0.7139	1650.52	11139.90	3.4	118.901935	118.903059	29.7	9.5	CCl2[37Cl]+	0.5	10544.96	0.947	EI
0.6775	1650.49	10409.25	3.2	81.935940	81.937157	30.6	14.8	CCl2+	1.0	10008.09	0.961	EI
0.5359	1650.53	7916.07	2.4	117.959137	117.960563	30.8	12.1	C2F3[37Cl]+	1.0	7916.07	1.000	EI
0.4773	1650.51	7069.58	2.2	49.996606	49.996258	46.6	-7.0	CF2+	1.0	7049.99	0.997	EI
