Run file: 200602.1550.std.7.frag.train_CFC114
#############################################
Compound index: 0
Average retention time, seconds: 1536.43
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C2F4Cl2+: 	66.48	0.0	True
C2F5Cl+: 	61.44	0.0	True
C2F3Cl3+: 	35.45	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
31.4467	1536.41	101970.49	100.0	84.963807	84.965110	25.6	15.3	CF2Cl+	0.5	101968.62	1.000	EI
25.6058	1536.43	83034.09	81.4	134.960802	134.961917	25.7	8.3	C2F4Cl+	0.5	83029.02	1.000	EI
10.0590	1536.41	32972.58	32.3	86.960750	86.962160	26.5	16.2	CF2[37Cl]+	0.5	32617.30	0.989	EI
8.1759	1536.43	26511.17	26.0	136.957799	136.958967	27.2	8.5	C2F4[37Cl]+	0.5	26511.17	1.000	EI
5.1500	1536.47	16714.67	16.4	100.933954	100.935560	28.5	15.9	CFCl2+	0.5	16699.48	0.999	EI
3.2947	1536.47	10878.78	10.7	102.931215	102.932610	30.2	13.6	CFCl[37Cl]+	0.5	10683.52	0.982	EI
2.2310	1536.43	7238.13	7.1	99.991525	99.993064	31.5	15.4	C2F4+	1.0	7234.32	0.999	EI
2.0939	1536.49	6789.80	6.7	68.993469	68.994661	27.2	17.3	CF3+	0.5	6789.80	1.000	EI
1.7001	1536.43	5512.85	5.4	49.995449	49.996258	31.4	16.2	CF2+	1.0	5512.85	1.000	EI
1.5987	1536.40	5184.55	5.1	30.997570	30.997855	33.7	9.2	CF+	1.5	5183.93	1.000	EI
1.4216	1536.47	4609.75	4.5	65.965669	65.966707	34.9	15.7	CFCl+	1.0	4609.75	1.000	EI
1.3188	1536.43	4278.92	4.2	150.931338	150.932366	34.4	6.8	C2F3Cl2+	0.5	4276.48	0.999	EI
0.7973	1536.50	2585.45	2.5	152.927878	152.929416	39.1	10.1	C2F3Cl[37Cl]+	0.5	2585.45	1.000	EI
0.5904	1536.48	1914.58	1.9	46.967884	46.968304	39.6	8.9	CCl+	1.5	1914.34	1.000	EI
0.5785	1536.40	1875.86	1.8	115.961676	115.963514	47.0	15.8	C2F3Cl+	1.0	1875.84	1.000	EI
0.5256	1536.44	1704.15	1.7	135.963923	135.965272	48.7	9.9	C[13C]F4Cl+	0.5	1704.15	1.000	EI
0.5118	1536.49	1659.60	1.6	104.927840	104.929660	44.8	17.3	CF[37Cl]2+	0.5	1659.60	1.000	EI
0.4357	1536.46	1412.68	1.4	67.962411	67.963757	43.4	19.8	CF[37Cl]+	1.0	1412.68	1.000	EI
0.3878	1536.39	1257.47	1.2	34.968091	34.968304	42.3	6.1	Cl+	0.5	1257.47	1.000	EI
0.3108	1536.38	1007.90	1.0	85.967287	85.968465	54.0	13.7	[13C]F2Cl+	0.5	1007.90	1.000	EI
0.1864	1536.51	604.33	0.6	48.964791	48.965354	65.8	11.5	C[37Cl]+	1.5	604.33	1.000	EI
0.1671	1536.35	541.87	0.5	117.958857	117.960563	59.9	14.5	C2F3[37Cl]+	1.0	541.87	1.000	EI
0.1507	1536.27	488.75	0.5	137.960298	137.962322	57.2	14.7	C[13C]F4[37Cl]+	0.5	488.75	1.000	EI
0.1240	1536.39	409.96	0.4	36.965131	36.965354	49.2	6.0	[37Cl]+	0.5	402.23	0.981	EI
0.1218	1536.44	394.99	0.4	154.925054	154.926466	99.5	9.1	C2F3[37Cl]2+	0.5	394.99	1.000	EI
0.1126	1536.52	365.62	0.4	77.964245	77.966707	133.5	31.6	C2FCl+	2.0	365.07	0.999	EI
0.1061	1536.44	402.97	0.4	81.935167	81.937157	87.0	24.3	CCl2+	1.0	344.05	0.854	EI
0.0946	1536.50	306.64	0.3	61.995399	61.996258	82.0	13.8	C2F2+	2.0	306.64	1.000	EI
0.0901	1536.15	292.24	0.3	87.963575	87.965515	97.0	22.1	[13C]F2[37Cl]+	0.5	292.24	1.000	EI
0.08	1536.65	245.55	0.2	57.980661	0.0	39.9	0.0	unidentified	0.0	245.55	1.000	EI
0.0678	1536.29	219.72	0.2	42.997737	42.997855	185.3	2.7	C2F+	2.5	219.72	1.000	EI
0.0553	1536.40	179.17	0.2	80.993664	80.994661	109.6	12.3	C2F3+	1.5	179.17	1.000	EI
0.0425	1536.65	137.76	0.1	83.932578	83.934207	109.8	19.4	CCl[37Cl]+	1.0	137.76	1.000	EI
0.0399	1536.14	131.56	0.1	58.971934	58.968304	161.6	-61.6	C2Cl+	2.5	129.24	0.982	EI
0.0268	1536.46	86.96	0.1	101.937071	101.938915	150.2	18.1	[13C]FCl2+	0.5	86.96	1.000	EI
0.0265	1536.64	86.00	0.1	96.965775	96.965110	96.1	-6.8	C2F2Cl+	1.5	86.00	1.000	EI
0.0252	1536.32	81.74	0.1	79.960466	79.963757	118.9	41.2	C2F[37Cl]+	2.0	81.74	1.000	EI
0.0235	1536.43	88.72	0.1	69.997831	69.998016	94.1	2.6	[13C]F3+	0.5	76.06	0.857	EI
0.0188	1536.66	60.87	0.1	131.930435	131.933963	127.2	26.7	C2F2Cl2+	1.0	60.83	0.999	EI
0.0062	1536.36	20.12	0.0	133.928225	133.931013	150.4	20.8	C2F2Cl[37Cl]+	1.0	20.12	1.000	EI
