Run file: 200602.1550.std.7.frag.train_CFC115
#############################################
Compound index: 0
Average retention time, seconds: 1409.14
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C2F5Cl+: 	52.02	0.0	True
C2F4Cl2+: 	27.62	0.0	True
C2F6+: 	22.28	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
29.6514	1409.13	35377.36	100.0	84.963380	84.965110	26.8	20.4	CF2Cl+	0.5	35376.77	1.000	EI
23.9127	1409.14	28531.78	80.6	118.989764	118.991467	27.4	14.3	C2F5+	0.5	28530.02	1.000	EI
15.0695	1409.15	17979.59	50.8	68.993202	68.994661	26.2	21.1	CF3+	0.5	17979.24	1.000	EI
10.6412	1409.15	12697.93	35.9	134.959916	134.961917	28.9	14.8	C2F4Cl+	0.5	12695.91	1.000	EI
9.4848	1409.13	11670.30	33.0	86.960432	86.962160	28.3	19.9	CF2[37Cl]+	0.5	11316.18	0.970	EI
3.3899	1409.15	4044.47	11.4	136.956785	136.958967	33.9	15.9	C2F4[37Cl]+	0.5	4044.47	1.000	EI
2.1332	1409.13	2545.13	7.2	49.995460	49.996258	47.8	16.0	CF2+	1.0	2545.13	1.000	EI
1.7773	1409.16	2120.50	6.0	30.997306	30.997855	46.4	17.7	CF+	1.5	2120.50	1.000	EI
1.0140	1409.22	1209.82	3.4	99.991364	99.993064	37.6	17.0	C2F4+	1.0	1209.82	1.000	EI
0.7013	1409.03	836.73	2.4	65.965846	65.966707	61.0	13.0	CFCl+	1.0	836.73	1.000	EI
0.4636	1409.10	553.15	1.6	119.993371	119.994822	70.9	12.1	C[13C]F5+	0.5	553.15	1.000	EI
0.2930	1409.06	349.61	1.0	85.967115	85.968465	68.7	15.7	[13C]F2Cl+	0.5	349.61	1.000	EI
0.2568	1408.99	306.42	0.9	46.967378	46.968304	114.1	19.7	CCl+	1.5	306.42	1.000	EI
0.2022	1409.26	241.19	0.7	67.961882	67.963757	80.4	27.6	CF[37Cl]+	1.0	241.19	1.000	EI
0.1955	1409.39	233.30	0.7	34.967782	34.968304	34.5	14.9	Cl+	0.5	233.30	1.000	EI
0.1713	1409.06	204.36	0.6	135.963579	135.965272	102.0	12.5	C[13C]F4Cl+	0.5	204.36	1.000	EI
0.1581	1409.15	188.68	0.5	69.996399	69.998016	79.9	23.1	[13C]F3+	0.5	188.68	1.000	EI
0.0781	1409.35	93.24	0.3	115.961963	115.963514	86.8	13.4	C2F3Cl+	1.0	93.24	1.000	EI
0.0560	1408.75	66.83	0.2	87.963284	87.965515	137.7	25.4	[13C]F2[37Cl]+	0.5	66.83	1.000	EI
0.0257	1408.87	30.68	0.1	48.965780	48.965354	85.1	-8.7	C[37Cl]+	1.5	30.68	1.000	EI
0.0235	1409.27	28.05	0.1	61.994568	61.996258	93.6	27.2	C2F2+	2.0	28.03	0.999	EI
