Run file: 200602.1550.std.7.frag.train_CFC12
#############################################
Compound index: 0
Average retention time, seconds: 1441.60
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
CF2Cl2+: 	91.37	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
59.0258	1441.59	2783266.70	100.0	84.963845	84.965110	25.1	14.9	CF2Cl+	0.5	2783228.85	1.000	EI
18.8809	1441.60	893642.13	32.1	86.960837	86.962160	25.2	15.2	CF2[37Cl]+	0.5	890287.78	0.996	EI
5.4172	1441.60	255444.00	9.2	100.934228	100.935560	25.5	13.2	CFCl2+	0.5	255434.06	1.000	EI
4.3617	1441.61	205687.07	7.4	49.995524	49.996258	25.4	14.7	CF2+	1.0	205666.96	1.000	EI
3.4187	1441.61	161201.61	5.8	102.931154	102.932610	25.4	14.1	CFCl[37Cl]+	0.5	161201.61	1.000	EI
1.6410	1441.61	77379.00	2.8	65.965474	65.966707	25.7	18.7	CFCl+	1.0	77379.00	1.000	EI
1.4302	1441.65	67438.50	2.4	34.967966	34.968304	25.9	9.7	Cl+	0.5	67438.50	1.000	EI
1.3130	1441.61	61919.55	2.2	30.997452	30.997855	25.9	13.0	CF+	1.5	61912.23	1.000	EI
0.9199	1441.60	43376.30	1.6	46.967604	46.968304	26.6	14.9	CCl+	1.5	43376.30	1.000	EI
0.6057	1441.48	28558.35	1.0	85.966826	85.968465	27.0	19.1	[13C]F2Cl+	0.5	28558.35	1.000	EI
0.5541	1441.61	26126.62	0.9	104.927995	104.929660	27.3	15.9	CF[37Cl]2+	0.5	26126.62	1.000	EI
0.5249	1441.64	25979.01	0.9	67.962412	67.963757	26.3	19.8	CF[37Cl]+	1.0	24751.72	0.953	EI
0.4575	1441.63	23606.88	0.8	36.964918	36.965354	28.9	11.8	[37Cl]+	0.5	21571.99	0.914	EI
0.2960	1441.64	14805.33	0.5	48.964563	48.965354	28.0	16.2	C[37Cl]+	1.5	13958.51	0.943	EI
0.1938	1441.47	9137.67	0.3	87.963977	87.965515	28.8	17.5	[13C]F2[37Cl]+	0.5	9137.67	1.000	EI
0.1206	1441.57	5687.95	0.2	69.935799	69.937157	34.9	19.4	Cl2+	0.0	5687.93	1.000	EI
0.0985	1441.61	4646.77	0.2	119.932267	119.933963	32.6	14.1	CF2Cl2+	0.0	4646.65	1.000	EI
0.0849	1441.58	4003.37	0.1	81.935834	81.937157	33.6	16.1	CCl2+	1.0	4003.37	1.000	EI
0.08	1441.63	3798.82	0.1	40.967063	0.0	21.3	0.0	unidentified	0.0	3798.82	1.000	EI
0.0772	1441.61	3846.97	0.1	71.932534	71.934207	33.1	23.3	Cl[37Cl]+	0.0	3638.86	0.946	EI
0.0628	1441.69	2961.42	0.1	121.929435	121.931013	38.0	12.9	CF2Cl[37Cl]+	0.0	2961.42	1.000	EI
0.06	1441.57	2749.47	0.1	41.966110	0.0	11.2	0.0	unidentified	0.0	2749.47	1.000	EI
0.0545	1441.60	2742.77	0.1	83.932305	83.934207	43.6	22.7	CCl[37Cl]+	1.0	2567.74	0.936	EI
0.0519	1441.44	2445.13	0.1	101.937405	101.938915	37.9	14.8	[13C]FCl2+	0.5	2445.13	1.000	EI
0.0341	1441.52	1607.82	0.1	103.934196	103.935965	42.0	17.0	[13C]FCl[37Cl]+	0.5	1607.82	1.000	EI
0.0123	1441.67	603.39	0.0	73.929472	73.931257	63.5	24.1	[37Cl]2+	0.0	581.99	0.965	EI
0.0096	1441.45	451.52	0.0	47.969767	47.971659	75.5	39.4	[13C]Cl+	1.5	451.52	1.000	EI
0.0095	1441.64	445.76	0.0	123.924985	123.928063	76.3	24.8	CF2[37Cl]2+	0.0	445.76	1.000	EI
0.0090	1441.61	424.71	0.0	53.966137	53.966707	66.4	10.6	FCl+	0.0	424.71	1.000	EI
0.01	1441.56	413.01	0.0	42.964979	0.0	32.0	0.0	unidentified	0.0	413.01	1.000	EI
0.01	1441.60	329.24	0.0	32.983615	0.0	48.0	0.0	unidentified	0.0	329.24	1.000	EI
0.0042	1441.50	195.71	0.0	105.931679	105.933015	100.5	12.6	[13C]F[37Cl]2+	0.5	195.71	1.000	EI
0.00	1441.64	189.45	0.0	33.986925	0.0	104.5	0.0	unidentified	0.0	189.45	1.000	EI
0.0029	1441.72	161.82	0.0	55.963617	55.963757	131.8	2.5	F[37Cl]+	0.0	135.85	0.840	EI
