Run file: 200602.1550.std.7.frag.train_CH2Cl2
#############################################
Compound index: 0
Average retention time, seconds: 1626.37
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H2CCl2+: 	99.18	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
29.3787	1626.37	161423.99	100.0	83.951532	83.952807	25.5	15.2	H2CCl2+	0.0	160911.39	0.997	EI
25.6955	1626.37	143375.72	88.8	48.983153	48.983954	25.8	16.4	H2CCl+	0.5	140738.22	0.982	EI
18.7705	1626.37	102808.70	63.7	85.948521	85.949857	25.6	15.5	H2CCl[37Cl]+	0.0	102808.70	1.000	EI
8.2194	1626.36	46757.02	29.0	50.980369	50.981004	26.9	12.5	H2C[37Cl]+	0.5	45018.76	0.963	EI
4.4023	1626.35	25929.38	16.1	46.967714	46.968304	26.5	12.6	CCl+	1.5	24112.29	0.930	EI
2.9879	1626.38	16365.45	10.1	87.945556	87.946907	29.0	15.4	H2C[37Cl]2+	0.0	16365.45	1.000	EI
2.2242	1626.37	12427.95	7.7	47.975298	47.976129	30.4	17.3	HCCl+	1.0	12182.05	0.980	EI
1.4082	1626.37	143375.72	88.8	48.983153	48.965354	25.8	-363.4	C[37Cl]+	1.5	7712.94	0.054	EI
1.3771	1626.40	7542.78	4.7	34.968048	34.968304	30.4	7.3	Cl+	0.5	7542.78	1.000	EI
0.8862	1626.38	4856.72	3.0	82.943362	82.944982	34.3	19.5	HCCl2+	0.5	4854.06	0.999	EI
0.73	1626.36	4023.20	2.5	40.967188	0.0	18.2	0.0	unidentified	0.0	4023.20	1.000	EI
0.7115	1626.36	4930.33	3.1	49.975106	49.973179	43.3	-38.6	HC[37Cl]+	1.0	3896.74	0.790	EI
0.5670	1626.37	4573.59	2.8	84.945995	84.942032	56.5	-46.7	HCCl[37Cl]+	0.5	3105.39	0.679	EI
0.49	1626.36	2669.11	1.7	41.966494	0.0	16.0	0.0	unidentified	0.0	2669.11	1.000	EI
0.4405	1626.34	2712.28	1.7	36.965026	36.965354	36.3	8.9	[37Cl]+	0.5	2412.75	0.890	EI
0.3291	1626.37	4573.59	2.8	84.945995	84.956162	56.5	119.7	H2[13C]Cl2+	0.0	1802.54	0.394	EI
0.2931	1626.40	1605.38	1.0	35.975730	35.976129	46.7	11.1	HCl+	0.0	1605.12	1.000	EI
0.2878	1626.36	4930.33	3.1	49.975106	49.987309	43.3	244.2	H2[13C]Cl+	0.5	1576.56	0.320	EI
0.2415	1626.31	1514.62	0.9	81.935922	81.937157	48.0	15.1	CCl2+	1.0	1322.84	0.873	EI
0.2105	1626.36	1501.45	0.9	86.948531	86.953212	82.2	53.8	H2[13C]Cl[37Cl]+	0.0	1153.18	0.768	EI
0.1545	1626.37	161423.99	100.0	83.951532	83.934207	25.5	-206.4	CCl[37Cl]+	1.0	846.29	0.005	EI
0.1174	1626.34	642.92	0.4	69.935898	69.937157	63.5	18.0	Cl2+	0.0	642.92	1.000	EI
0.10	1626.31	545.51	0.3	42.965219	0.0	56.1	0.0	unidentified	0.0	545.51	1.000	EI
0.0937	1626.30	560.54	0.3	37.972596	37.973179	69.2	15.3	H[37Cl]+	0.0	513.44	0.916	EI
0.0916	1626.15	501.71	0.3	51.984005	51.984359	87.4	6.8	H2[13C][37Cl]+	0.5	501.71	1.000	EI
0.0907	1626.36	1501.45	0.9	86.948531	86.939082	82.2	-108.7	HC[37Cl]2+	0.5	496.67	0.331	EI
0.0672	1626.34	368.02	0.2	71.932271	71.934207	73.9	26.9	Cl[37Cl]+	0.0	368.02	1.000	EI
0.0493	1626.37	12427.95	7.7	47.975298	47.971659	30.4	-75.8	[13C]Cl+	1.5	270.11	0.022	EI
0.0249	1626.37	143375.72	88.8	48.983153	48.979484	25.8	-74.9	H[13C]Cl+	1.0	136.46	0.001	EI
0.0247	1626.37	102808.70	63.7	85.948521	85.931257	25.6	-200.9	C[37Cl]2+	1.0	135.35	0.001	EI
0.0158	1626.36	4930.33	3.1	49.975106	49.968709	43.3	-128.0	[13C][37Cl]+	1.5	86.40	0.018	EI
0.0144	1626.22	79.03	0.0	88.949737	88.950262	137.1	5.9	H2[13C][37Cl]2+	0.0	79.03	1.000	EI
