Run file: 200602.1550.std.7.frag.train_CH3Br
#############################################
Compound index: 0
Average retention time, seconds: 1549.64
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H3CBr+: 	76.88	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
38.5470	1549.64	15703.22	100.0	93.939126	93.941264	26.7	22.8	H3CBr+	0.0	15701.46	1.000	EI
37.3436	1549.65	15211.27	96.9	95.937744	95.939216	29.0	15.3	H3C[81Br]+	0.0	15211.27	1.000	EI
3.3451	1549.67	1362.59	8.7	78.916263	78.917789	49.9	19.3	Br+	0.5	1362.57	1.000	EI
3.2309	1549.70	1316.04	8.4	80.914631	80.915741	43.4	13.7	[81Br]+	0.5	1316.04	1.000	EI
2.8967	1549.59	1179.96	7.5	90.916532	90.917789	42.6	13.8	CBr+	1.5	1179.92	1.000	EI
2.8183	1549.64	2912.68	18.5	92.925570	92.915741	52.2	-105.8	C[81Br]+	1.5	1147.98	0.394	EI
1.4395	1549.63	586.51	3.7	91.924215	91.925614	77.8	15.2	HCBr+	1.0	586.34	1.000	EI
1.4005	1549.64	15703.22	100.0	93.939126	93.923566	26.7	-165.6	HC[81Br]+	1.0	570.47	0.036	EI
0.4817	1549.44	196.45	1.3	79.924606	79.925614	73.6	12.6	HBr+	0.0	196.23	0.999	EI
0.4318	1549.68	2133.48	13.6	94.930787	94.944619	43.5	145.7	H3[13C]Br+	0.0	175.89	0.082	EI
0.3218	1549.65	131.09	0.8	96.944603	96.942571	124.7	-21.0	H3[13C][81Br]+	0.0	131.09	1.000	EI
