Run file: 200602.1550.std.7.frag.train_CH3Cl
#############################################
Compound index: 0
Average retention time, seconds: 1494.70
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H3CCl+: 	79.00	0.0	True
CF+: 	0.03	1.5	False
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
62.7886	1494.70	782849.56	100.0	49.991061	49.991779	25.3	14.4	H3CCl+	0.0	780198.80	0.997	EI
20.0846	1494.70	259161.91	33.1	51.988068	51.988829	25.3	14.6	H3C[37Cl]+	0.0	249566.78	0.963	EI
4.5054	1494.69	55983.22	7.2	46.967542	46.968304	25.9	16.2	CCl+	1.5	55983.22	1.000	EI
1.9786	1494.71	26430.31	3.4	47.975249	47.976129	28.1	18.3	HCCl+	1.0	24586.17	0.930	EI
1.4794	1494.70	62855.98	8.0	48.981823	48.965354	27.1	-336.2	C[37Cl]+	1.5	18382.38	0.292	EI
1.2962	1494.69	16106.35	2.1	34.967884	34.968304	27.3	12.0	Cl+	0.5	16106.35	1.000	EI
0.7034	1494.68	23263.37	3.0	50.983380	50.995134	35.6	230.6	H3[13C]Cl+	0.0	8739.86	0.376	EI
0.6329	1494.70	782849.56	100.0	49.991061	49.973179	25.3	-357.7	HC[37Cl]+	1.0	7864.52	0.010	EI
0.4332	1494.73	5383.10	0.7	35.975625	35.976129	30.2	14.0	HCl+	0.0	5382.78	1.000	EI
0.4146	1494.72	5716.82	0.7	36.965041	36.965354	30.4	8.5	[37Cl]+	0.5	5152.04	0.901	EI
0.2249	1494.66	2794.03	0.4	52.991462	52.992184	38.6	13.6	H3[13C][37Cl]+	0.0	2794.03	1.000	EI
0.1325	1494.65	1646.90	0.2	37.972641	37.973179	43.3	14.2	H[37Cl]+	0.0	1646.90	1.000	EI
0.0518	1494.71	26430.31	3.4	47.975249	47.971659	28.1	-74.8	[13C]Cl+	1.5	643.75	0.024	EI
0.0313	1494.66	389.07	0.0	30.997513	30.997855	87.4	11.0	CF+	1.5	389.07	1.000	EI
0.0293	1494.68	23263.37	3.0	50.983380	50.998056	35.6	287.9	H2[2H]CCl+	0.0	364.58	0.016	EI
0.0222	1494.70	62855.98	8.0	48.981823	48.979484	27.1	-47.8	H[13C]Cl+	1.0	275.42	0.004	EI
0.0094	1494.66	2794.03	0.4	52.991462	52.995106	38.6	68.8	H2[2H]C[37Cl]+	0.0	116.62	0.042	EI
0.0071	1494.68	23263.37	3.0	50.983380	50.976534	35.6	-134.3	H[13C][37Cl]+	1.0	88.10	0.004	EI
