Run file: 200602.1550.std.7.frag.train_CHCl3
#############################################
Compound index: 0
Average retention time, seconds: 1690.65
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
HCCl3+: 	63.35	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
45.1143	1690.65	38034.39	100.0	82.943792	82.944982	26.2	14.3	HCCl2+	0.5	38034.39	1.000	EI
28.8630	1690.66	24637.11	64.8	84.940858	84.942032	27.4	13.8	HCCl[37Cl]+	0.5	24333.47	0.988	EI
7.5626	1690.65	6375.74	16.8	46.967783	46.968304	33.2	11.1	CCl+	1.5	6375.74	1.000	EI
4.6163	1690.66	3990.08	10.5	86.938007	86.939082	37.4	12.4	HC[37Cl]2+	0.5	3891.84	0.975	EI
2.73	1690.66	2299.97	6.0	47.971653	0.0	30.9	0.0	unidentified	0.0	2299.97	1.000	EI
2.4192	1690.59	2275.13	6.0	48.966013	48.965354	67.0	-13.4	C[37Cl]+	1.5	2039.51	0.896	EI
1.4959	1690.74	1261.12	3.3	81.935694	81.937157	52.7	17.9	CCl2+	1.0	1261.12	1.000	EI
1.16	1690.62	977.14	2.6	49.971657	0.0	29.5	0.0	unidentified	0.0	977.14	1.000	EI
0.9641	1690.52	1267.74	3.3	83.941017	83.934207	97.8	-81.1	CCl[37Cl]+	1.0	812.80	0.641	EI
0.7892	1690.69	665.51	1.7	117.911638	117.913835	63.1	18.6	HCCl3+	0.0	665.31	1.000	EI
0.7573	1690.61	673.42	1.8	119.909909	119.910884	60.1	8.1	HCCl2[37Cl]+	0.0	638.45	0.948	EI
0.5054	1690.52	1267.74	3.3	83.941017	83.948337	97.8	87.2	H[13C]Cl2+	0.5	426.08	0.336	EI
0.4964	1690.62	418.87	1.1	116.905176	116.906010	81.0	7.1	CCl3+	0.5	418.48	0.999	EI
0.4763	1690.76	490.02	1.3	118.902128	118.903059	83.1	7.8	CCl2[37Cl]+	0.5	401.59	0.820	EI
0.3233	1690.43	398.17	1.0	85.941743	85.945387	88.9	42.4	H[13C]Cl[37Cl]+	0.5	272.59	0.685	EI
0.2294	1690.50	193.44	0.5	121.907381	121.907934	92.1	4.5	HCCl[37Cl]2+	0.0	193.44	1.000	EI
0.1542	1690.43	398.17	1.0	85.941743	85.931257	88.9	-122.0	C[37Cl]2+	1.0	130.00	0.326	EI
0.15	1690.57	128.13	0.3	71.933109	0.0	31.6	0.0	unidentified	0.0	128.13	1.000	EI
0.1387	1690.45	116.91	0.3	69.936379	69.937157	101.2	11.1	Cl2+	0.0	116.91	1.000	EI
0.1231	1690.68	103.82	0.3	120.899951	120.900109	126.0	1.3	CCl[37Cl]2+	0.5	103.82	1.000	EI
