Run file: 200602.1550.std.7.frag.train_COS
#############################################
Compound index: 0
Average retention time, seconds: 1363.96
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
COS+: 	58.31	4.0	True
O2S+: 	7.57	3.0	False
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
81.7341	1363.96	489428.91	100.0	59.965348	59.966437	25.2	18.2	COS+	4.0	489428.91	1.000	EI
9.4698	1363.97	56705.59	11.6	31.970918	31.971522	25.7	18.9	S+	3.0	56705.59	1.000	EI
3.6085	1363.98	23001.47	4.7	61.961189	61.962233	26.8	16.8	CO[34S]+	4.0	21608.11	0.939	EI
1.57	1363.94	9408.86	1.9	43.987327	0.0	11.6	0.0	unidentified	0.0	9408.86	1.000	EI
0.9156	1363.91	9338.60	1.9	60.966886	60.969792	30.1	47.7	[13C]OS+	4.0	5482.66	0.587	EI
0.74	1363.96	4442.56	0.9	29.983533	0.0	19.5	0.0	unidentified	0.0	4442.56	1.000	EI
0.6439	1363.91	9338.60	1.9	60.966886	60.965825	30.1	-17.4	CO[33S]+	4.0	3855.53	0.413	EI
0.4181	1363.96	4296.77	0.9	33.967100	33.967318	39.1	6.4	[34S]+	3.0	2503.53	0.583	EI
0.1639	1363.98	23001.47	4.7	61.961189	61.970683	26.8	153.2	C[18O]S+	4.0	981.39	0.043	EI
0.0886	1363.96	530.61	0.1	47.965956	47.966437	75.1	10.0	OS+	3.0	530.61	1.000	EI
0.0746	1364.00	664.43	0.1	32.970385	32.970910	50.0	15.9	[33S]+	3.0	446.71	0.672	EI
0.07	1364.11	424.04	0.1	45.966603	0.0	36.3	0.0	unidentified	0.0	424.04	1.000	EI
0.0397	1363.86	237.63	0.0	63.960290	63.961351	73.6	16.6	O2S+	3.0	237.63	1.000	EI
0.0311	1363.91	9338.60	1.9	60.966886	60.970654	30.1	61.8	C[17O]S+	4.0	185.94	0.020	EI
0.0287	1363.68	172.03	0.0	62.964796	62.965588	77.2	12.6	[13C]O[34S]+	4.0	172.03	1.000	EI
0.03	1364.01	154.53	0.0	30.982256	0.0	153.2	0.0	unidentified	0.0	154.53	1.000	EI
