Run file: 200602.1550.std.7.frag.train_HCFC141b
#############################################
Compound index: 0
Average retention time, seconds: 1645.58
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H4C2FCl+: 	27.77	0.0	True
H3C2FCl2+: 	24.90	0.0	True
H3C2F2Cl+: 	21.46	0.0	True
H3NO2S+: 	0.03	2.0	True
H2NO2FS+: 	0.02	2.0	True
H2NO2SCl+: 	0.02	2.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
34.8475	1645.58	14118.46	100.0	80.988887	80.990182	28.2	16.0	H3C2FCl+	0.5	13988.90	0.991	EI
11.7412	1645.54	4715.12	33.4	60.983091	60.983954	33.0	14.1	H2C2Cl+	1.5	4713.28	1.000	EI
11.6888	1645.54	4693.13	33.2	45.012448	45.013505	57.8	23.5	H2C2F+	1.5	4692.26	1.000	EI
11.1469	1645.59	4520.86	32.0	82.985947	82.987232	32.0	15.5	H3C2F[37Cl]+	0.5	4474.71	0.990	EI
10.1922	1645.62	4121.85	29.2	79.981004	79.982357	33.1	16.9	H2C2FCl+	1.0	4091.46	0.993	EI
3.7557	1645.60	1516.41	10.7	62.979967	62.981004	45.2	16.5	H2C2[37Cl]+	1.5	1507.67	0.994	EI
3.2602	1645.60	1560.95	11.1	81.980096	81.979407	46.8	-8.4	H2C2F[37Cl]+	1.0	1308.76	0.838	EI
3.1687	1645.35	1272.05	9.0	95.951451	95.952807	46.2	14.1	H2C2Cl2+	1.0	1272.03	1.000	EI
2.0272	1645.35	813.98	5.8	97.948637	97.949857	60.5	12.5	H2C2Cl[37Cl]+	1.0	813.78	1.000	EI
1.6357	1645.58	661.38	4.7	59.975124	59.976129	77.8	16.8	HC2Cl+	2.0	656.63	0.993	EI
1.4219	1645.54	570.81	4.0	35.975704	35.976129	46.3	11.8	HCl+	0.0	570.79	1.000	EI
0.7807	1645.60	1560.95	11.1	81.980096	81.993537	46.8	164.0	H3C[13C]FCl+	0.5	313.41	0.201	EI
0.7239	1645.27	290.69	2.1	34.968175	34.968304	40.6	3.7	Cl+	0.5	290.58	1.000	EI
0.6451	1645.78	258.98	1.8	26.014742	26.015101	69.3	13.8	H2C2+	2.0	258.98	1.000	EI
0.5318	1645.66	425.39	3.0	78.975095	78.974532	88.8	-7.1	HC2FCl+	1.5	213.49	0.502	EI
0.5232	1645.59	268.56	1.9	61.975936	61.973179	150.9	-44.5	HC2[37Cl]+	2.0	210.04	0.782	EI
0.5016	1645.66	425.39	3.0	78.975095	78.972250	88.8	-36.0	HNO2S+	3.0	201.37	0.473	EI
0.4020	1645.60	257.64	1.8	46.020456	46.021330	116.4	19.0	H3C2F+	1.0	161.37	0.626	EI
0.2631	1645.59	268.56	1.9	61.975936	61.987309	150.9	183.5	H2C[13C]Cl+	1.5	105.60	0.393	EI
0.2619	1645.60	257.64	1.8	46.020456	46.016859	116.4	-78.2	H2C[13C]F+	1.5	105.13	0.408	EI
0.2283	1645.58	14118.46	100.0	80.988887	80.985712	28.2	-39.2	H2C[13C]FCl+	1.0	91.67	0.006	EI
0.1916	1645.77	76.91	0.5	83.993867	83.990587	114.7	-39.0	H3C[13C]F[37Cl]+	0.5	76.91	1.000	EI
0.1701	1645.58	14118.46	100.0	80.988887	80.971582	28.2	-213.7	HC2F[37Cl]+	1.5	68.29	0.005	EI
0.0854	1645.62	4121.85	29.2	79.981004	79.980075	33.1	-11.6	H2NO2S+	2.5	34.28	0.008	EI
0.0038	1645.60	1560.95	11.1	81.980096	81.975872	46.8	-51.5	H2NO2[34S]+	2.5	1.51	0.001	EI
