Run file: 200602.1550.std.7.frag.train_HCFC142b
#############################################
Compound index: 0
Average retention time, seconds: 1545.30
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H3C2F2Cl+: 	63.31	0.0	True
H4C2F2+: 	35.56	0.0	True
H3C2F3+: 	31.45	0.0	True
H2C2F3Cl+: 	23.05	0.0	True
H2C2F2Cl2+: 	19.94	0.0	True
H4C2FCl+: 	15.66	0.0	True
H3C2FCl2+: 	12.10	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
51.5387	1545.30	52994.60	100.0	65.018695	65.019733	26.3	16.0	H3C2F2+	0.5	52994.60	1.000	EI
12.4523	1545.29	12804.02	24.2	45.012902	45.013505	28.5	13.4	H2C2F+	1.5	12804.02	1.000	EI
10.2281	1545.32	10517.73	19.8	84.963873	84.965110	26.7	14.6	CF2Cl+	0.5	10517.02	1.000	EI
4.3844	1545.30	4508.22	8.5	64.010664	64.011908	33.8	19.4	H2C2F2+	1.0	4508.22	1.000	EI
3.2597	1545.31	3351.77	6.3	86.960921	86.962160	33.3	14.3	CF2[37Cl]+	0.5	3351.77	1.000	EI
2.2891	1545.29	2498.21	4.7	80.988067	80.990182	43.8	26.1	H3C2FCl+	0.5	2353.81	0.942	EI
1.9617	1545.26	2154.50	4.1	60.983044	60.983954	39.5	14.9	H2C2Cl+	1.5	2017.11	0.936	EI
1.5895	1545.16	1637.43	3.1	79.980970	79.982357	43.5	17.3	H2C2FCl+	1.0	1634.38	0.998	EI
1.3047	1545.30	1341.59	2.5	30.997602	30.997855	50.4	8.1	CF+	1.5	1341.59	1.000	EI
1.1547	1545.19	1213.83	2.3	66.022147	66.023088	58.9	14.2	H3C[13C]F2+	0.5	1187.34	0.978	EI
1.1197	1545.26	1409.81	2.7	62.999977	63.004083	105.1	65.2	HC2F2+	1.5	1151.37	0.817	EI
0.75	1545.12	770.56	1.5	43.990034	0.0	15.2	0.0	unidentified	0.0	770.56	1.000	EI
0.7322	1545.24	760.35	1.4	82.985758	82.987232	68.9	17.8	H3C2F[37Cl]+	0.5	752.93	0.990	EI
0.6275	1545.26	1409.81	2.7	62.999977	62.981004	105.1	-301.2	H2C2[37Cl]+	1.5	645.22	0.458	EI
0.5534	1545.24	589.94	1.1	78.972944	78.974532	61.6	20.1	HC2FCl+	1.5	569.02	0.965	EI
0.5488	1545.36	564.34	1.1	34.968125	34.968304	34.1	5.1	Cl+	0.5	564.32	1.000	EI
0.5084	1545.18	552.96	1.0	81.979107	81.979407	91.8	3.7	H2C2F[37Cl]+	1.0	522.80	0.945	EI
0.4916	1545.24	505.67	1.0	51.002711	51.004083	110.2	26.9	HCF2+	0.5	505.45	1.000	EI
0.4673	1545.38	502.08	0.9	48.982605	48.983954	73.9	27.5	H2CCl+	0.5	480.47	0.957	EI
0.4648	1545.36	477.90	0.9	33.013138	33.013505	79.9	11.1	H2CF+	0.5	477.90	1.000	EI
0.4476	1545.37	478.24	0.9	49.995505	49.996258	62.0	15.1	CF2+	1.0	460.26	0.962	EI
0.2791	1545.29	515.65	1.0	46.018337	46.016859	90.6	-32.1	H2C[13C]F+	1.5	286.99	0.557	EI
0.27	1545.36	276.07	0.5	44.953904	0.0	103.4	0.0	unidentified	0.0	276.07	1.000	EI
0.2584	1545.22	307.28	0.6	47.971624	47.976129	132.9	93.9	HCCl+	1.0	265.70	0.865	EI
0.2333	1545.29	515.65	1.0	46.018337	46.021330	90.6	65.0	H3C2F+	1.0	239.89	0.465	EI
0.2171	1545.26	297.04	0.6	59.974902	59.976129	89.7	20.5	HC2Cl+	2.0	223.19	0.751	EI
0.2063	1545.29	212.67	0.4	26.014072	26.015101	108.2	39.6	H2C2+	2.0	212.09	0.997	EI
0.2012	1545.22	223.18	0.4	46.967838	46.968304	74.3	9.9	CCl+	1.5	206.90	0.927	EI
0.1770	1545.29	2498.21	4.7	80.988067	80.971582	43.8	-203.5	HC2F[37Cl]+	1.5	182.01	0.073	EI
0.1708	1545.41	175.62	0.3	42.997892	42.997855	182.3	-0.9	C2F+	2.5	175.62	1.000	EI
0.1634	1545.05	168.16	0.3	66.972753	66.974532	80.7	26.6	HCFCl+	0.5	168.01	0.999	EI
0.1561	1545.10	160.55	0.3	36.964733	36.965354	71.1	16.8	[37Cl]+	0.5	160.55	1.000	EI
0.1551	1545.30	4508.22	8.5	64.010664	63.988829	33.8	-341.1	H3C2[37Cl]+	1.0	159.47	0.035	EI
