Run file: 200602.1550.std.7.frag.train_HCFC22
#############################################
Compound index: 0
Average retention time, seconds: 1446.24
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
HCF2Cl+: 	78.10	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
66.8320	1446.24	692404.83	100.0	51.003329	51.004083	25.3	14.8	HCF2+	0.5	691946.46	0.999	EI
10.3290	1446.24	107134.21	15.5	66.973259	66.974532	25.7	19.0	HCFCl+	0.5	106941.68	0.998	EI
4.2659	1446.21	44169.27	6.4	49.995381	49.996258	26.1	17.5	CF2+	1.0	44166.66	1.000	EI
3.7715	1446.26	39048.13	5.6	30.997429	30.997855	26.6	13.7	CF+	1.5	39048.13	1.000	EI
3.2981	1446.26	34147.30	4.9	68.971586	68.971582	49.7	-0.1	HCF[37Cl]+	0.5	34147.30	1.000	EI
2.5180	1446.24	26070.21	3.8	34.967889	34.968304	27.5	11.9	Cl+	0.5	26070.21	1.000	EI
1.7184	1446.22	17791.93	2.6	65.965408	65.966707	27.4	19.7	CFCl+	1.0	17791.93	1.000	EI
1.5548	1446.24	16101.34	2.3	85.970829	85.972935	31.7	24.5	HCF2Cl+	0.0	16097.61	1.000	EI
1.1983	1446.20	12406.82	1.8	46.967603	46.968304	27.9	14.9	CCl+	1.5	12406.82	1.000	EI
0.8055	1446.26	9154.47	1.3	36.964992	36.965354	31.5	9.8	[37Cl]+	0.5	8339.25	0.911	EI
0.7299	1446.09	7557.51	1.1	52.006621	52.007438	30.1	15.7	H[13C]F2+	0.5	7557.51	1.000	EI
0.5528	1446.23	6854.51	1.0	67.963754	67.963757	34.4	0.0	CF[37Cl]+	1.0	5723.35	0.835	EI
0.4973	1446.28	5184.41	0.7	87.967757	87.969985	32.1	25.3	HCF2[37Cl]+	0.0	5149.24	0.993	EI
0.3833	1446.22	4202.50	0.6	48.964626	48.965354	36.3	14.9	C[37Cl]+	1.5	3968.80	0.944	EI
0.3341	1446.26	3460.25	0.5	35.975557	35.976129	35.5	15.9	HCl+	0.0	3459.49	1.000	EI
0.2176	1446.25	2387.19	0.3	47.974600	47.976129	57.0	31.9	HCCl+	1.0	2252.51	0.944	EI
0.1157	1446.23	6854.51	1.0	67.963754	67.977887	34.4	207.9	H[13C]FCl+	0.5	1197.97	0.175	EI
0.1065	1446.26	1102.35	0.2	37.972760	37.973179	38.6	11.0	H[37Cl]+	0.0	1102.35	1.000	EI
0.0478	1446.24	692404.83	100.0	51.003329	50.999613	25.3	-72.9	[13C]F2+	1.0	494.76	0.001	EI
0.0423	1446.10	5552.02	0.8	31.989887	32.001209	48.2	353.9	[13C]F+	1.5	437.68	0.079	EI
0.0326	1446.04	337.23	0.0	69.974943	69.974937	87.5	-0.1	H[13C]F[37Cl]+	0.5	337.23	1.000	EI
0.0194	1446.24	107134.21	15.5	66.973259	66.970062	25.7	-47.7	[13C]FCl+	1.0	200.43	0.002	EI
0.0134	1446.25	2387.19	0.3	47.974600	47.971659	57.0	-61.3	[13C]Cl+	1.5	138.99	0.058	EI
0.0116	1446.26	120.33	0.0	53.966568	53.966707	108.4	2.6	FCl+	0.0	120.33	1.000	EI
0.0104	1446.09	7557.51	1.1	52.006621	52.010360	30.1	71.9	[2H]CF2+	0.5	107.78	0.014	EI
0.01	1446.24	99.40	0.0	32.983981	0.0	100.9	0.0	unidentified	0.0	99.40	1.000	EI
0.01	1446.02	66.15	0.0	55.961181	0.0	40.3	0.0	unidentified	0.0	66.15	1.000	EI
