Run file: 200602.1550.std.7.frag.train_Halon1211
#############################################
Compound index: 0
Average retention time, seconds: 1514.94
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
CF2ClBr+: 	63.49	0.0	True
CF3Cl+: 	31.47	0.0	True
CF2Cl2+: 	26.23	0.0	True
CF3Br+: 	18.88	0.0	True
CF2Br2+: 	15.73	0.0	True
CFClBr2+: 	8.78	0.0	True
CFCl2Br+: 	8.78	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
42.8959	1514.93	22874.02	100.0	84.963656	84.965110	27.9	17.1	CF2Cl+	0.5	22872.90	1.000	EI
13.7214	1514.96	7368.35	32.2	86.960639	86.962160	31.6	17.5	CF2[37Cl]+	0.5	7316.49	0.993	EI
9.8625	1514.95	5259.46	23.0	128.913240	128.914595	33.6	10.5	CF2Br+	0.5	5258.87	1.000	EI
9.5955	1514.96	5344.18	23.4	130.911030	130.912547	32.0	11.6	CF2[81Br]+	0.5	5116.52	0.957	EI
3.4082	1514.97	1817.42	7.9	78.916053	78.917789	41.5	22.0	Br+	0.5	1817.31	1.000	EI
3.3159	1514.91	1817.66	7.9	80.914075	80.915741	43.7	20.6	[81Br]+	0.5	1768.12	0.973	EI
2.9227	1514.94	1558.60	6.8	144.883006	144.885045	41.1	14.1	CFClBr+	0.5	1558.45	1.000	EI
2.9050	1514.88	1551.09	6.8	49.994666	49.996258	44.2	31.8	CF2+	1.0	1548.98	0.999	EI
2.8436	1514.92	2014.99	8.8	146.881072	146.882997	40.9	13.1	CFCl[81Br]+	0.5	1516.26	0.752	EI
1.1595	1514.99	618.28	2.7	30.997795	30.997855	71.1	1.9	CF+	1.5	618.28	1.000	EI
0.9681	1514.92	516.22	2.3	65.965656	65.966707	88.0	15.9	CFCl+	1.0	516.22	1.000	EI
0.9349	1514.92	2014.99	8.8	146.881072	146.882095	40.9	7.0	CF[37Cl]Br+	0.5	498.51	0.247	EI
0.9092	1514.94	484.78	2.1	148.879305	148.880047	73.4	5.0	CF[37Cl][81Br]+	0.5	484.78	1.000	EI
0.4760	1514.89	253.83	1.1	46.967933	46.968304	101.5	7.9	CCl+	1.5	253.83	1.000	EI
0.3498	1514.78	186.54	0.8	109.915868	109.916192	56.0	3.0	CFBr+	1.0	186.53	1.000	EI
0.3404	1515.01	215.25	0.9	111.911875	111.914144	69.2	20.3	CF[81Br]+	1.0	181.48	0.843	EI
0.3097	1514.85	619.73	2.7	67.979382	67.963757	60.3	-229.8	CF[37Cl]+	1.0	165.13	0.266	EI
0.2831	1514.90	150.95	0.7	85.967485	85.968465	84.5	11.4	[13C]F2Cl+	0.5	150.95	1.000	EI
0.25	1514.65	135.12	0.6	69.981610	0.0	63.8	0.0	unidentified	0.0	135.12	1.000	EI
0.2372	1514.84	126.46	0.6	90.916030	90.917789	96.8	19.3	CBr+	1.5	126.46	1.000	EI
0.2307	1514.86	158.12	0.7	92.913491	92.915741	90.9	24.2	C[81Br]+	1.5	123.03	0.778	EI
0.1429	1515.13	76.19	0.3	87.961910	87.965515	97.4	41.0	[13C]F2[37Cl]+	0.5	76.19	1.000	EI
0.0834	1514.71	44.47	0.2	113.885164	113.886642	108.1	13.0	ClBr+	0.0	44.47	1.000	EI
0.0811	1514.79	53.49	0.2	115.881447	115.884594	174.7	27.2	Cl[81Br]+	0.0	43.26	0.809	EI
0.0793	1515.04	42.26	0.2	48.971423	48.965354	487.1	-123.9	C[37Cl]+	1.5	42.26	1.000	EI
0.0645	1515.08	34.40	0.2	129.921199	129.917950	171.3	-25.0	[13C]F2Br+	0.5	34.40	1.000	EI
