Run file: 200602.1550.std.7.frag.train_Halon1301
#############################################
Compound index: 0
Average retention time, seconds: 1369.93
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
CF3Br+: 	69.44	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
48.8425	1369.93	17206.09	100.0	68.993278	68.994661	25.9	20.0	CF3+	0.5	17206.03	1.000	EI
11.4728	1369.95	4042.33	23.5	128.912664	128.914595	33.7	15.0	CF2Br+	0.5	4041.58	1.000	EI
11.1622	1369.94	4053.68	23.6	130.910423	130.912547	36.2	16.2	CF2[81Br]+	0.5	3932.18	0.970	EI
7.9286	1369.93	2793.22	16.2	147.910806	147.912999	37.0	14.8	CF3Br+	0.0	2793.04	1.000	EI
7.7139	1369.91	2750.07	16.0	149.908220	149.910951	36.6	18.2	CF3[81Br]+	0.0	2717.44	0.988	EI
4.2196	1369.93	1487.22	8.6	78.915681	78.917789	40.4	26.7	Br+	0.5	1486.45	0.999	EI
4.1053	1369.89	1521.40	8.8	80.914347	80.915741	46.4	17.2	[81Br]+	0.5	1446.21	0.951	EI
2.5717	1370.04	905.96	5.3	49.995525	49.996258	58.4	14.7	CF2+	1.0	905.96	1.000	EI
0.5958	1370.00	209.88	1.2	30.997346	30.997855	117.7	16.4	CF+	1.5	209.88	1.000	EI
0.4959	1369.31	174.71	1.0	69.996111	69.998016	101.0	27.2	[13C]F3+	0.5	174.71	1.000	EI
0.14	1369.99	50.74	0.3	92.916332	0.0	56.6	0.0	unidentified	0.0	50.74	1.000	EI
0.0917	1369.74	32.30	0.2	90.918750	90.917789	112.3	-10.6	CBr+	1.5	32.30	1.000	EI
