Run file: 200602.1550.std.7.frag.train_PFCc318
#############################################
Compound index: 0
Average retention time, seconds: 1481.48
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C3F6+: 	47.37	1.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
48.7434	1481.49	19887.86	100.0	130.990128	130.991467	27.1	10.2	C3F5+	1.5	19886.00	1.000	EI
38.6543	1481.45	15769.95	79.3	99.991539	99.993064	27.2	15.3	C2F4+	1.0	15769.95	1.000	EI
3.3475	1481.46	1365.68	6.9	30.997573	30.997855	51.4	9.1	CF+	1.5	1365.68	1.000	EI
3.1975	1481.58	1304.50	6.6	92.993268	92.994661	43.8	15.0	C3F3+	2.5	1304.50	1.000	EI
2.0744	1481.50	846.31	4.3	49.995884	49.996258	66.3	7.5	CF2+	1.0	846.31	1.000	EI
1.4970	1481.50	610.73	3.1	131.992850	131.994822	59.0	14.9	C2[13C]F5+	1.5	610.73	1.000	EI
0.8351	1481.37	340.68	1.7	100.995700	100.996419	68.5	7.1	C[13C]F4+	1.0	340.68	1.000	EI
0.4672	1481.48	190.61	1.0	111.991942	111.993064	95.0	10.0	C3F4+	2.0	190.61	1.000	EI
0.4571	1481.56	186.47	0.9	80.993582	80.994661	94.3	13.3	C2F3+	1.5	186.47	1.000	EI
0.4407	1481.45	179.79	0.9	73.995450	73.996258	114.0	10.9	C3F2+	3.0	179.79	1.000	EI
0.2813	1481.64	114.77	0.6	61.994964	61.996258	167.2	20.9	C2F2+	2.0	114.77	1.000	EI
