Run file: 200602.1550.std.7.frag.train_SF6
#############################################
Compound index: 0
Average retention time, seconds: 1291.35
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
F6S+: 	61.75	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
72.4003	1291.36	55070.75	100.0	126.961877	126.963538	26.4	13.1	F5S+	0.5	55070.28	1.000	EI
12.8813	1291.32	9797.99	17.8	88.965085	88.966732	30.4	18.5	F3S+	1.5	9797.99	1.000	EI
6.0934	1291.31	4634.83	8.4	107.962945	107.965135	34.0	20.3	F4S+	1.0	4634.83	1.000	EI
3.1728	1291.26	2413.35	4.4	128.958288	128.959334	50.4	8.1	F5[34S]+	0.5	2413.35	1.000	EI
1.7561	1291.31	1335.79	2.4	69.967173	69.968328	54.0	16.5	F2S+	2.0	1335.79	1.000	EI
1.3234	1291.43	1006.64	1.8	50.968787	50.969925	46.5	22.3	FS+	2.5	1006.59	1.000	EI
1.20	1291.27	913.08	1.7	53.981159	0.0	27.4	0.0	unidentified	0.0	913.08	1.000	EI
0.5247	1291.31	399.13	0.7	90.960473	90.962528	71.1	22.6	F3[34S]+	1.5	399.13	1.000	EI
0.4652	1291.18	353.83	0.6	127.960933	127.962926	93.3	15.6	F5[33S]+	0.5	353.83	1.000	EI
0.1817	1291.21	138.19	0.3	109.960373	109.960931	106.6	5.1	F4[34S]+	1.0	138.19	1.000	EI
