Run file: 200714.2200.cal6L.7.frag.train_Halon2402
#############################################
Compound index: 0
Average retention time, seconds: 1661.50
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C2F4Br2+: 	32.72	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
29.0205	1661.49	9442.70	100.0	178.910236	178.911402	32.3	6.5	C2F4Br+	0.5	9439.81	1.000	EI
26.9718	1661.54	8773.40	92.9	180.907848	180.909354	34.2	8.3	C2F4[81Br]+	0.5	8773.40	1.000	EI
10.6449	1661.51	3462.74	36.7	128.912801	128.914595	41.5	13.9	CF2Br+	0.5	3462.58	1.000	EI
9.7262	1661.45	3163.73	33.5	130.910889	130.912547	45.9	12.7	CF2[81Br]+	0.5	3163.73	1.000	EI
5.6512	1661.65	1838.21	19.5	99.991431	99.993064	40.4	16.3	C2F4+	1.0	1838.21	1.000	EI
2.0703	1661.56	784.27	8.3	259.825590	259.827691	54.8	8.1	C2F4Br[81Br]+	0.0	673.44	0.859	EI
1.8751	1660.78	611.62	6.5	80.992607	80.994661	134.7	25.4	C2F3+	1.5	609.93	0.997	EI
1.2493	1661.63	449.76	4.8	78.917298	78.917789	96.2	6.2	Br+	0.5	406.38	0.904	EI
1.2215	1661.42	497.71	5.3	190.832220	190.832482	75.6	1.4	CFBr[81Br]+	0.5	397.34	0.798	EI
1.0773	1661.28	350.43	3.7	80.915004	80.915741	89.5	9.1	[81Br]+	0.5	350.43	1.000	EI
1.0640	1661.28	346.22	3.7	257.828156	257.829739	83.9	6.1	C2F4Br2+	0.0	346.09	1.000	EI
1.0072	1661.83	352.27	3.7	261.824033	261.825643	67.6	6.1	C2F4[81Br]2+	0.0	327.61	0.930	EI
0.8985	1661.63	292.28	3.1	159.909802	159.912999	101.2	20.0	C2F3Br+	1.0	292.26	1.000	EI
0.8742	1661.70	457.44	4.8	161.907880	161.910951	90.3	19.0	C2F3[81Br]+	1.0	284.35	0.622	EI
0.8603	1661.41	279.86	3.0	109.914599	109.916192	99.4	14.5	CFBr+	1.0	279.85	1.000	EI
0.8132	1661.30	264.51	2.8	111.910920	111.914144	122.2	28.8	CF[81Br]+	1.0	264.51	1.000	EI
0.6308	1661.62	205.20	2.2	240.830912	240.829288	49.9	-6.7	C2F3Br[81Br]+	0.5	205.20	1.000	EI
0.6278	1661.58	204.25	2.2	188.833024	188.834530	100.4	8.0	CFBr2+	0.5	204.20	1.000	EI
0.5942	1661.49	339.34	3.6	192.828714	192.830434	68.1	8.9	CF[81Br]2+	0.5	193.29	0.570	EI
0.5214	1661.66	169.59	1.8	181.913456	181.912709	114.5	-4.1	C[13C]F4[81Br]+	0.5	169.59	1.000	EI
0.3944	1661.05	128.28	1.4	179.913296	179.914757	119.8	8.1	C[13C]F4Br+	0.5	128.28	1.000	EI
0.3510	1661.25	114.23	1.2	238.829979	238.831336	106.4	5.7	C2F3Br2+	0.5	114.18	1.000	EI
