RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1857.6	34.9685074	11.86	6.22	1997.25	45.03	0.00452	0.6	0	517.93	3.86	EI
1857.04	46.9683303	16.42	3.12	4200.97	60.81	0.0057	0.6	0	274.36	15.31	EI
1856.83	58.9679954	14.18	3.67	3084.74	40.71	0.00688	0.6	0	124.77	24.72	EI
1856.73	81.9368773	30.69	3.76	1928.23	30.96	0.00914	0.6	0	88.98	21.67	EI
1856.8	82.9372493	55.8	3.75	378.96	19.08	0.00923	0.6	0	71.31	5.31	EI
1856.9	83.9334183	21.86	3.73	1127.06	24.87	0.00933	0.6	0	58.76	19.18	EI
1857.45	85.931772	77.12	3.71	142.48	7.93	0.00953	0.6	0	23.76	6	EI
1856.79	93.9363764	7.59	3.65	9385.23	67.51	0.01031	0.6	0	489.17	19.19	EI
1856.99	94.9397519	52.34	3.69	270.5	14.57	0.01041	0.6	0	43.47	6.22	EI
1856.82	95.9336856	9.02	3.73	6307.6	66.55	0.01051	0.6	0	234.23	26.93	EI
1857.36	116.9052415	41.13	2.89	138.4	11.31	0.01257	0.6	0	20.18	6.86	EI
1856.89	118.9046186	53.94	2.79	203.37	12.62	0.01277	0.6	0	68.7	2.96	EI
1856.82	128.905699	5.43	2.51	23468.38	148.2	0.01375	0.6	0	1152.85	20.36	EI
1856.83	129.9086967	29.87	2.49	426.99	13.05	0.01385	0.6	0	39.36	10.85	EI
1856.83	130.9028412	5.64	2.46	23104.04	135.07	0.01394	0.6	0	1259.82	18.34	EI
1856.66	131.9060807	36.84	2.31	426.02	16.4	0.01404	0.6	0	43.77	9.73	EI
1856.86	132.8998101	10.45	2.14	7194.3	78.03	0.01414	0.6	0	343.53	20.94	EI
1856.79	134.8968606	23.8	1.82	629.65	21.63	0.01434	0.6	0	67.96	9.26	EI
1856.8	163.8746888	5.58	1.35	25587.08	148.94	0.01718	0.6	0	1398.29	18.3	EI
1856.94	164.8792346	37.64	1.39	387.46	15.84	0.01728	0.6	0	51.2	7.57	EI
1856.83	165.8719988	4.67	1.42	32833.95	167.01	0.01738	0.6	0	1805.82	18.18	EI
1856.73	166.8742839	28.2	1.45	490.97	21.43	0.01748	0.6	0	74.2	6.62	EI
1856.85	167.8687415	6.87	1.48	15847.47	107.67	0.01757	0.6	0	699.95	22.64	EI
1856.54	168.8705388	31.32	1.51	317.87	20.94	0.01767	0.6	0	57.86	5.49	EI
1856.85	169.865735	13.91	1.52	3257.52	38.61	0.01777	0.6	0	121.78	26.75	EI
1857.04	171.8608662	35.17	1.56	204.92	14.49	0.01797	0.6	0	53.13	3.86	EI
