RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1745.16	46.9682845	36.75	3.12	456.65	19.83	0.0057	0.6	0	48.99	9.32	EI
1744.94	48.9657283	102.46	3.23	138.72	11.08	0.0059	0.6	0	24.07	5.76	EI
1744.92	58.9675583	36.86	3.67	344.72	13.72	0.00688	0.6	0	21.29	16.19	EI
1745.07	59.9751812	17.69	3.7	2427.45	43.63	0.00698	0.6	0	94.35	25.73	EI
1744.91	60.9689734	96.62	3.74	128.38	13.31	0.00708	0.6	0	20.54	6.25	EI
1745.08	61.972399	25.41	3.77	673.36	22.63	0.00717	0.6	0	74.64	9.02	EI
1745.09	64.9584139	76.47	3.87	50.4	9.47	0.00747	0.6	0	24.84	2.03	EI
1744.64	65.9561641	37.75	3.9	74.95	12.01	0.00757	0.6	0	49.4	1.52	EI
1745.31	81.9355932	44.62	3.76	102.8	16.58	0.00914	0.6	0	31.96	3.22	EI
1745.35	83.9348462	60.28	3.73	67.1	10.61	0.00933	0.6	0	34.91	1.92	EI
1745.03	93.9369685	24.86	3.65	579.84	16.07	0.01031	0.6	0	39.18	14.8	EI
1745.04	94.9438494	6.45	3.69	7670.9	91.49	0.01041	0.6	0	315.37	24.32	EI
1745.01	95.9367342	35.73	3.73	511.63	22.07	0.01051	0.6	0	49.32	10.37	EI
1745.14	96.941034	12.62	3.76	4980.44	44.15	0.01061	0.6	0	184.5	26.99	EI
1744.71	97.9387275	60.06	3.79	152.95	10.5	0.01071	0.6	0	36.2	4.23	EI
1745.05	98.9383059	24.92	3.83	718.49	20.29	0.01081	0.6	0	49.18	14.61	EI
1745.08	129.9131417	8.24	2.49	8659.56	79.09	0.01385	0.6	0	336.49	25.73	EI
1745.03	131.9099911	7.9	2.31	8495.86	76.38	0.01404	0.6	0	373.88	22.72	EI
1744.97	132.9105669	45.48	2.14	60	14.35	0.01414	0.6	0	35.46	1.69	EI
1745.04	133.9068051	13.49	1.98	2578.32	46.79	0.01424	0.6	0	116.95	22.05	EI
1745.31	135.9055706	41.11	1.66	142.14	14.71	0.01444	0.6	0	33.87	4.2	EI
