RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1625.47	30.9975687	42.33	3.85	431.96	26.19	0.00413	0.6	0	181.57	2.38	EI
1625.46	68.9935628	2.52	3.98	27516.22	377.63	0.00786	0.6	0	1130.8	24.33	EI
1625.46	80.9943042	57.57	3.77	57.79	12.8	0.00904	0.6	0	35.98	1.61	EI
1625.26	92.9934618	17.1	3.62	548.4	31.56	0.01022	0.6	0	191.48	2.86	EI
1625.39	99.99178	10.42	3.86	1773.8	54.95	0.01091	0.6	0	248.25	7.15	EI
1625.43	111.9904703	30.98	3.14	185.32	16.15	0.01209	0.6	0	83.92	2.21	EI
1625.13	118.9900735	7.11	2.79	4774.45	92.28	0.01277	0.6	0	311.87	15.31	EI
1625.48	119.9948673	43.58	2.76	57.49	4.66	0.01287	0.6	0	24.3	2.37	EI
1625.52	130.9904773	6.38	2.46	5134.69	116.86	0.01395	0.6	0	545.24	9.42	EI
1625.36	131.9937259	36.68	2.29	160.35	16.01	0.01405	0.6	0	80.92	1.98	EI
1625.48	149.9892633	31.41	0.88	335.28	20.99	0.01582	0.6	0	46.36	7.23	EI
1625.31	168.9871911	6.06	1.51	5946.05	92.36	0.01768	0.6	0	220.76	26.93	EI
1625.38	169.9900858	31.51	1.53	113.8	9.43	0.01778	0.6	0	37.4	3.04	EI
1625.52	180.9872344	9.68	1.7	1456.23	54.15	0.01886	0.6	0	258.5	5.63	EI
1625.77	181.9904429	44.39	1.68	33.85	9.2	0.01896	0.6	0	31.04	1.09	EI
1625.81	199.9833344	47.2	1.29	94.6	11.94	0.02073	0.6	0	22.65	4.18	EI
1625.44	218.983733	13.65	1.22	2030.12	48.34	0.02259	0.6	0	134.38	15.11	EI
1624.89	219.9823195	29.3	1.22	147.19	10.26	0.02269	0.6	0	55.96	2.63	EI
1625.49	230.9833303	12.03	1.25	1996.07	46.53	0.02377	0.6	0	164.31	12.15	EI
