RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1862.16	26.0150566	11.8	2.7	4445.92	70.48	0.00364	0.6	0	227.74	19.52	EI
1861.39	27.0227962	8.01	2.6	9938.53	130.53	0.00374	0.6	0	805.59	12.34	EI
1862.42	35.9994306	19.35	6.66	1923.1	33.87	0.00462	0.6	0	90.06	21.35	EI
1862.41	37.0072891	6.99	6.98	19552.19	142.83	0.00472	0.6	0	740.38	26.41	EI
1862.38	38.0151155	7.01	5.43	28948.67	159.01	0.00482	0.6	0	345.82	83.71	EI
1862.39	39.0229589	3.27	3.95	91733.25	404.62	0.00492	0.6	0	3736.99	24.55	EI
1862.29	40.0277777	20.02	2.65	2713.29	55.54	0.00502	0.6	0	275.71	9.84	EI
1862.53	47.9988355	17.35	3.17	2148.87	31.5	0.0058	0.6	0	106.07	20.26	EI
1862.3	49.0067403	8.54	3.23	23861.97	122.69	0.0059	0.6	0	1130.1	21.11	EI
1862.39	50.0149558	2.29	3.28	182203.56	533.58	0.006	0.6	0	6572.44	27.72	EI
1862.4	51.0225836	2.48	3.33	202741.74	475.15	0.0061	0.6	0	11753.27	17.25	EI
1862.39	52.0304506	2.16	3.38	218071.1	659.28	0.0062	0.6	0	7642.26	28.53	EI
1862.38	53.0345396	12.64	3.42	9038.93	72.79	0.0063	0.6	0	580.84	15.56	EI
1862.34	59.9983148	25.4	3.7	2180.2	37.57	0.00698	0.6	0	110.61	19.71	EI
1862.1	61.0063561	15.94	3.74	8300.27	77.59	0.00708	0.6	0	760.82	10.91	EI
1862.35	63.0220498	9.35	3.81	41807.89	154.83	0.00728	0.6	0	1990.82	21	EI
1862.5	64.0253984	21.1	3.84	2237.46	34.33	0.00738	0.6	0	251.8	8.89	EI
1862.46	71.998935	20.17	3.92	2030.43	29.05	0.00816	0.6	0	56.08	36.21	EI
1862.41	73.0066494	5.98	3.9	23985.67	162.43	0.00826	0.6	0	1281.5	18.72	EI
1862.4	74.014343	3.21	3.89	75102.82	257.27	0.00836	0.6	0	2858.42	26.27	EI
1862.39	75.0214623	5.68	3.87	26801.95	107.47	0.00846	0.6	0	1162.42	23.06	EI
1862.39	76.0300603	3.1	3.85	80652.51	330.45	0.00856	0.6	0	4239.42	19.02	EI
1862.41	77.0380222	1.91	3.83	393521.62	1063.65	0.00865	0.6	0	4272.36	92.11	EI
1862.39	78.045955	1.3	3.82	1565513.78	4193.92	0.00875	0.6	0	55614.57	28.15	EI
1862.34	79.0492191	2.68	3.8	101540.73	403.77	0.00885	0.6	0	3810.69	26.65	EI
1862.31	80.0533253	18.7	3.79	2843.64	41.96	0.00895	0.6	0	185.89	15.3	EI
