RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1708.39	34.9682399	10.66	6.22	2722.2	56.45	0.00452	0.6	0	379.8	7.17	EI
1708.76	35.9754145	17.66	6.65	1051.69	23.59	0.00462	0.6	0	244.1	4.31	EI
1708.34	36.9652372	15.7	7.05	914.66	29.06	0.00472	0.6	0	209.35	4.37	EI
1708.35	46.9678399	12.71	3.12	3784.5	53.09	0.0057	0.6	0	160.24	23.62	EI
1708.1	48.9649311	21.67	3.23	1192.81	27.9	0.0059	0.6	0	139.43	8.55	EI
1707.83	59.9652194	35.63	3.7	120.66	11.02	0.00698	0.6	0	44.85	2.69	EI
1708.22	81.9357612	12.15	3.76	6160.97	58.97	0.00914	0.6	0	215.34	28.61	EI
1707.09	82.9441672	29.19	3.75	319.25	14.98	0.00923	0.6	0	100.04	3.19	EI
1708.23	83.9331974	13.33	3.73	3956.19	36.64	0.00933	0.6	0	197.9	19.99	EI
1708.49	84.9481876	104.97	3.72	140.23	15.07	0.00943	0.6	0	60.33	2.32	EI
1708.3	85.9311696	33.57	3.71	564.31	26.45	0.00953	0.6	0	47.56	11.86	EI
1708.28	97.9307585	29.64	3.79	134.15	10.03	0.01071	0.6	0	34.2	3.92	EI
1708.06	99.9237368	67.28	3.86	106.78	11.53	0.0109	0.6	0	72.07	1.48	EI
1708.28	116.904694	4.76	2.89	28974.71	107.02	0.01257	0.6	0	1540.78	18.81	EI
1708.27	117.9077584	45.56	2.84	189.53	12.36	0.01267	0.6	0	48.17	3.93	EI
1708.28	118.9017799	5.19	2.79	29078.73	121.51	0.01277	0.6	0	1419.08	20.49	EI
1708.32	119.9066213	34.2	2.76	182.03	10.9	0.01286	0.6	0	67.69	2.69	EI
1708.26	120.8985816	8.15	2.73	9220.2	63.79	0.01296	0.6	0	340.52	27.08	EI
1708.23	122.8959145	27.22	2.68	886.67	23.63	0.01316	0.6	0	33.2	26.71	EI
