RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1650.51	30.9977589	4.78	3.85	18811.8	254.55	0.00413	0.6	0	931.84	20.19	EI
1650.51	34.9682333	7.76	6.22	6378.53	122.57	0.00452	0.6	0	294.67	21.65	EI
1650.46	36.965167	13.87	7.05	2154.21	73.01	0.00472	0.6	0	204.86	10.52	EI
1650.51	46.9679199	6.55	3.12	17250.23	235.07	0.0057	0.6	0	384.46	44.87	EI
1650.44	47.9667715	21.57	3.17	441.84	27.59	0.0058	0.6	0	216.86	2.04	EI
1650.56	48.9651245	8.89	3.23	4929.41	81.54	0.0059	0.6	0	618.85	7.97	EI
1650.51	49.9966063	15.75	3.28	7069.58	106.52	0.006	0.6	0	1028.5	6.87	EI
1650.56	55.9945287	111.18	3.55	593.35	20.71	0.00659	0.6	0	72.5	8.18	EI
1650.28	57.9825299	32.94	3.63	351.3	22.02	0.00678	0.6	0	164.75	2.13	EI
1650.45	58.9685203	22.41	3.67	1029.86	24.95	0.00688	0.6	0	102.25	10.07	EI
1649.97	60.9766846	104.16	3.74	450.08	29.08	0.00708	0.6	0	244.48	1.84	EI
1650.5	61.9960078	12.95	3.77	1959.99	56.86	0.00718	0.6	0	333.34	5.88	EI
1650.52	65.9657673	3.46	3.9	33929.69	444.56	0.00757	0.6	0	675.14	50.26	EI
1650.53	66.9663119	22.61	3.92	1242.96	35.24	0.00767	0.6	0	150.23	8.27	EI
1650.5	67.9627312	8.36	3.95	11761.85	250.03	0.00776	0.6	0	738.88	15.92	EI
1650.88	68.9937779	6.93	3.98	1657.09	95.29	0.00786	0.6	0	551.96	3	EI
1650.39	69.936501	31.97	3.96	381.13	23.69	0.00796	0.6	0	32.05	11.89	EI
1650.33	69.9960495	122.32	3.96	198.1	16.62	0.00796	0.6	0	90.16	2.2	EI
1650.64	71.9326357	42.33	3.92	168.23	10.26	0.00815	0.6	0	29.56	5.69	EI
1650.65	73.947527	74.54	3.89	60.27	9.81	0.00835	0.6	0	43.85	1.37	EI
1650.22	74.9492463	79.54	3.87	63.68	7.36	0.00845	0.6	0	12.21	5.21	EI
1650.5	77.9657383	9.73	3.82	5333.34	77.13	0.00875	0.6	0	237.44	22.46	EI
1650.35	78.9757139	60.41	3.8	116.85	14.45	0.00884	0.6	0	63.06	1.85	EI
1650.46	79.9638136	19.43	3.79	1495.17	42.43	0.00894	0.6	0	186.78	8.01	EI
1650.1	80.9908185	22.03	3.77	1993.56	71.46	0.00904	0.6	0	115.69	17.23	EI
1650.49	81.9359402	7.08	3.76	10409.25	139.48	0.00914	0.6	0	274.68	37.9	EI
1650.54	83.933434	8.02	3.73	5883.77	74.78	0.00933	0.6	0	782.83	7.52	EI
1650.51	84.9640568	2.29	3.72	118136.52	1323.08	0.00943	0.6	0	5896.54	20.03	EI
1650.37	85.949953	200.92	3.7	951.52	51.58	0.00953	0.6	0	523.58	1.82	EI
1650.5	86.9610045	3.11	3.69	37741.17	434.8	0.00963	0.6	0	2417.86	15.61	EI
1650.42	87.9649073	23.4	3.68	302.83	20.91	0.00973	0.6	0	34.57	8.76	EI
1650.56	93.9361038	19.81	3.65	653.38	22.81	0.01031	0.6	0	123	5.31	EI
1650.47	95.9351698	42.33	3.73	442.3	24.62	0.01051	0.6	0	103.95	4.25	EI
1650.53	96.9643038	12.16	3.76	2263.06	71.4	0.01061	0.6	0	170.67	13.26	EI
1650.61	98.9614509	25.85	3.83	760.92	20.14	0.01081	0.6	0	46.68	16.3	EI
