RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1626.4	34.9680479	6.92	6.22	7542.78	81.79	0.00452	0.6	0	300.3	25.12	EI
1626.4	35.9757297	15.8	6.65	1605.38	28.17	0.00462	0.6	0	99.98	16.06	EI
1626.34	36.9650261	10.54	7.05	2712.28	47.74	0.00472	0.6	0	134.85	20.11	EI
1626.3	37.9725962	25.79	5.49	560.54	26.12	0.00482	0.6	0	54.96	10.2	EI
1626.36	40.9671878	18.16	2.72	4023.2	119.29	0.00511	0.6	0	135.21	29.75	EI
1626.36	41.9664944	16.03	2.79	2669.11	55.42	0.00521	0.6	0	102.22	26.11	EI
1626.31	42.9652192	56.06	2.86	545.51	29.77	0.00531	0.6	0	103.94	5.25	EI
1626.35	46.9677143	3.55	3.12	25929.38	209.54	0.0057	0.6	0	834.3	31.08	EI
1626.37	47.9752979	6.95	3.17	12427.95	101.19	0.0058	0.6	0	267.86	46.4	EI
1626.37	48.9831531	2.47	3.23	143375.72	601.95	0.0059	0.6	0	4526.17	31.68	EI
1626.36	49.9751064	14.16	3.28	4930.33	90.74	0.006	0.6	0	156.87	31.43	EI
1626.36	50.9803687	3.92	3.33	46757.02	224.45	0.0061	0.6	0	1306.23	35.8	EI
1626.15	51.9840053	33.52	3.38	501.71	26.41	0.00619	0.6	0	37.33	13.44	EI
1626.34	69.9358978	23.36	3.96	642.92	30.74	0.00796	0.6	0	12.55	51.22	EI
1626.34	71.9322709	27.8	3.92	368.02	18.5	0.00815	0.6	0	24.38	15.1	EI
1626.31	81.9359218	16.39	3.76	1514.62	51.24	0.00914	0.6	0	49.59	30.55	EI
1626.38	82.9433618	9.41	3.75	4856.72	66.15	0.00923	0.6	0	115.57	42.02	EI
1626.37	83.9515324	1.92	3.73	161423.99	921.44	0.00933	0.6	0	2657.09	60.75	EI
1626.37	84.9459952	20.25	3.72	4573.59	62.65	0.00943	0.6	0	164.15	27.86	EI
1626.37	85.9485206	2.24	3.7	102808.7	620	0.00953	0.6	0	1313.03	78.3	EI
1626.36	86.9485311	31.31	3.69	1501.45	45.75	0.00963	0.6	0	131.71	11.4	EI
1626.38	87.9455561	5.84	3.68	16365.45	145.89	0.00973	0.6	0	402.67	40.64	EI
1626.22	88.9497374	53.94	3.67	79.03	10.72	0.00982	0.6	0	30.88	2.56	EI
