RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1549.67	78.916263	17.26	3.8	1362.59	39.38	0.00884	0.6	0	14.77	92.28	EI
1549.44	79.9246063	27.67	3.79	196.45	10.65	0.00894	0.6	0	26.3	7.47	EI
1549.7	80.9146315	14.21	3.77	1316.04	34.25	0.00904	0.6	0	43.01	30.6	EI
1549.59	90.9165318	13.8	3.64	1179.96	46.33	0.01002	0.6	0	12.56	93.97	EI
1549.63	91.924215	29.48	3.63	586.51	25.87	0.01012	0.6	0	52.63	11.14	EI
1549.64	92.92557	18.31	3.62	2912.68	42.65	0.01021	0.6	0	34.65	84.05	EI
1549.64	93.9391255	3.79	3.65	15703.22	102.57	0.01031	0.6	0	139.83	112.3	EI
1549.68	94.9307866	14.23	3.69	2133.48	60.77	0.01041	0.6	0	30.64	69.62	EI
1549.65	95.9377438	5.87	3.73	15211.27	123.8	0.01051	0.6	0	136.72	111.26	EI
1549.65	96.9446026	48.87	3.76	131.09	13.11	0.01061	0.6	0	8.87	14.78	EI
