RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1494.66	30.9975131	33.48	3.85	389.07	30.58	0.00413	0.6	0	239.68	1.62	EI
1494.69	34.9678844	4.43	6.22	16106.35	87.47	0.00452	0.6	0	199.58	80.7	EI
1494.73	35.9756254	6.75	6.65	5383.1	89.36	0.00462	0.6	0	55.4	97.16	EI
1494.72	36.965041	6.92	7.05	5716.82	70.61	0.00472	0.6	0	102	56.05	EI
1494.65	37.9726414	14.16	5.49	1646.9	48.86	0.00482	0.6	0	363.32	4.53	EI
1494.69	46.9675421	2.76	3.11	55983.22	327.59	0.0057	0.6	0	481.05	116.38	EI
1494.71	47.975249	5.15	3.17	26430.31	187.49	0.0058	0.6	0	186.64	141.61	EI
1494.7	48.9818232	4.23	3.23	62855.98	333.74	0.0059	0.6	0	1117.92	56.23	EI
1494.7	49.9910606	1.53	3.28	782849.56	1879.22	0.006	0.6	0	9661.16	81.03	EI
1494.68	50.9833796	10.12	3.33	23263.37	132.22	0.0061	0.6	0	699.31	33.27	EI
1494.7	51.9880682	1.48	3.38	259161.91	855.12	0.00619	0.6	0	2150.99	120.49	EI
1494.66	52.9914622	11.77	3.42	2794.03	59.7	0.00629	0.6	0	151.85	18.4	EI
