RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1690.65	46.9677828	8.74	3.12	6375.74	92.05	0.0057	0.6	0	352.57	18.08	EI
1690.66	47.9716532	30.91	3.17	2299.97	49.36	0.0058	0.6	0	282.03	8.16	EI
1690.59	48.9660126	24.87	3.23	2275.13	35.4	0.0059	0.6	0	117.53	19.36	EI
1690.62	49.9716573	29.54	3.28	977.14	25.89	0.006	0.6	0	81.3	12.02	EI
1690.45	69.9363793	39.24	3.96	116.91	16.27	0.00796	0.6	0	50.3	2.32	EI
1690.57	71.9331094	31.61	3.92	128.13	12.47	0.00815	0.6	0	35.52	3.61	EI
1690.74	81.9356941	18.55	3.76	1261.12	31.16	0.00914	0.6	0	61.98	20.35	EI
1690.65	82.9437923	3.14	3.75	38034.39	317.56	0.00923	0.6	0	2659.48	14.3	EI
1690.52	83.9410167	37.82	3.73	1267.74	42.16	0.00933	0.6	0	187.85	6.75	EI
1690.66	84.9408578	4.53	3.72	24637.11	163.06	0.00943	0.6	0	2396.31	10.28	EI
1690.43	85.9417427	34.13	3.7	398.17	18.39	0.00953	0.6	0	51.31	7.76	EI
1690.66	86.9380074	11.1	3.69	3990.08	64.17	0.00963	0.6	0	390.01	10.23	EI
1690.62	116.9051764	30.8	2.89	418.87	16.71	0.01257	0.6	0	44.41	9.43	EI
1690.69	117.9116376	23.19	2.84	665.51	23.97	0.01267	0.6	0	35.92	18.52	EI
1690.76	118.9021284	31.68	2.79	490.02	18.06	0.01277	0.6	0	55.05	8.9	EI
1690.61	119.9099089	21.85	2.76	673.42	27.97	0.01286	0.6	0	46.16	14.59	EI
1690.68	120.8999508	49.39	2.73	103.82	11.91	0.01296	0.6	0	28.26	3.67	EI
1690.5	121.9073812	35.46	2.7	193.44	12.74	0.01306	0.6	0	46.27	4.18	EI
