RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1363.96	29.9835334	19.47	3.43	4442.56	70.26	0.00403	0.6	0	487.57	9.11	EI
1364.01	30.9822563	153.21	3.84	154.53	14.42	0.00413	0.6	0	17.9	8.63	EI
1363.97	31.9709181	2.34	4.23	56705.59	348.88	0.00423	0.6	0	1352.33	41.93	EI
1364	32.9703852	17.3	4.93	664.43	23.18	0.00433	0.6	0	18.37	36.18	EI
1363.96	33.9670998	12.04	5.59	4296.77	63.19	0.00442	0.6	0	88.93	48.32	EI
1363.94	43.9873272	11.65	2.93	9408.86	213.37	0.00541	0.6	0	913.1	10.3	EI
1364.11	45.9666034	36.31	3.06	424.04	21.1	0.0056	0.6	0	33.99	12.47	EI
1363.96	47.965956	28.32	3.17	530.61	27.6	0.0058	0.6	0	49.11	10.81	EI
1363.96	59.9653483	1.37	3.7	489428.91	2172.87	0.00698	0.6	0	4535.59	107.91	EI
1363.91	60.9668858	6.72	3.74	9338.6	85.89	0.00708	0.6	0	98.73	94.58	EI
1363.98	61.9611891	3.91	3.77	23001.47	210.86	0.00717	0.6	0	291.51	78.91	EI
1363.68	62.9647958	29.2	3.8	172.03	16.66	0.00727	0.6	0	43.73	3.93	EI
1363.86	63.9602901	27.68	3.83	237.63	22.29	0.00737	0.6	0	99.31	2.39	EI
