RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1645.78	26.0147421	25.86	2.7	258.98	20.29	0.00364	0.6	0	68.43	3.78	EI
1645.27	34.9681748	12.81	6.22	290.69	31.23	0.00452	0.6	0	155.2	1.87	EI
1645.54	35.9757041	15.6	6.65	570.81	29.8	0.00462	0.6	0	356.41	1.6	EI
1645.54	45.0124475	20.83	3	4693.13	65.03	0.00551	0.6	0	103.37	45.4	EI
1645.6	46.0204562	45.48	3.06	257.64	16.27	0.00561	0.6	0	21.94	11.74	EI
1645.58	59.9751236	29.46	3.7	661.38	41.01	0.00698	0.6	0	41.54	15.92	EI
1645.54	60.9830913	8.6	3.74	4715.12	81.69	0.00708	0.6	0	131.69	35.8	EI
1645.59	61.9759364	59.52	3.77	268.56	17.59	0.00718	0.6	0	20.66	13	EI
1645.6	62.9799671	15.04	3.8	1516.41	58.22	0.00727	0.6	0	37.89	40.02	EI
1645.66	78.9750946	34.1	3.8	425.39	24.28	0.00884	0.6	0	53.17	8	EI
1645.62	79.9810043	8.68	3.79	4121.85	42.09	0.00894	0.6	0	231.21	17.83	EI
1645.58	80.9888873	5.23	3.77	14118.46	160.84	0.00904	0.6	0	61.18	230.78	EI
1645.6	81.9800964	15.81	3.76	1560.95	44.63	0.00914	0.6	0	90.78	17.19	EI
1645.59	82.9859467	8	3.74	4520.86	63.77	0.00924	0.6	0	137.25	32.94	EI
1645.77	83.9938668	44.78	3.73	76.91	10.29	0.00934	0.6	0	37.79	2.04	EI
1645.35	95.9514512	15.52	3.73	1272.05	37.94	0.01051	0.6	0	100.22	12.69	EI
1645.35	97.9486368	22.05	3.79	813.98	33.36	0.01071	0.6	0	96.03	8.48	EI
