RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1446.26	30.9974288	3.6	3.85	39048.13	272.81	0.00413	0.6	0	859.36	45.44	EI
1446.1	31.9898874	16.47	4.24	5552.02	244.25	0.00423	0.6	0	1278.29	4.34	EI
1446.24	32.9839806	100.93	4.94	99.4	20.89	0.00433	0.6	0	16.69	5.95	EI
1446.24	34.9678893	4.54	6.22	26070.21	222.5	0.00452	0.6	0	937.59	27.81	EI
1446.26	35.9755565	10.1	6.65	3460.25	54.88	0.00462	0.6	0	91.68	37.74	EI
1446.26	36.9649924	7.68	7.05	9154.47	126.9	0.00472	0.6	0	365.51	25.05	EI
1446.26	37.9727602	11.77	5.49	1102.35	35.33	0.00482	0.6	0	436.14	2.53	EI
1446.2	46.9676032	4.92	3.11	12406.82	164.57	0.0057	0.6	0	415.98	29.83	EI
1446.25	47.9746	20.51	3.17	2387.19	64.48	0.0058	0.6	0	57.99	41.16	EI
1446.22	48.9646261	10.51	3.23	4202.5	118.4	0.0059	0.6	0	137.64	30.53	EI
1446.21	49.9953807	3.04	3.28	44169.27	567.38	0.006	0.6	0	2357.11	18.74	EI
1446.24	51.0033289	1.59	3.33	692404.83	2941.15	0.0061	0.6	0	6406.83	108.07	EI
1446.09	52.0066206	6.68	3.38	7557.51	93.23	0.0062	0.6	0	89.01	84.91	EI
1446.26	53.966568	42.2	3.47	120.33	8.95	0.00639	0.6	0	23.15	5.2	EI
1446.02	55.961181	40.32	3.55	66.15	11.24	0.00658	0.6	0	31.24	2.12	EI
1446.22	65.9654082	4.47	3.9	17791.93	196.61	0.00757	0.6	0	1106.91	16.07	EI
1446.24	66.9732594	2.33	3.92	107134.21	523.71	0.00767	0.6	0	1020.98	104.93	EI
1446.23	67.9637545	9.43	3.95	6854.51	121.63	0.00776	0.6	0	330.82	20.72	EI
1446.26	68.9715858	17.19	3.98	34147.3	186.06	0.00786	0.6	0	565.89	60.34	EI
1446.04	69.9749433	33.55	3.96	337.23	26.19	0.00796	0.6	0	26.52	12.71	EI
1446.24	85.9708294	7.81	3.7	16101.34	141.74	0.00953	0.6	0	407.71	39.49	EI
1446.28	87.9677571	8.05	3.68	5184.41	78.11	0.00973	0.6	0	114.25	45.38	EI
