RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1369.31	69.9961105	39.13	3.96	174.71	15.84	0.00796	0.6	0	43.05	4.06	EI
1369.74	90.9187496	43.81	3.64	32.3	6.77	0.01002	0.6	0	9.76	3.31	EI
1369.89	80.9143468	15.65	3.77	1521.4	29.13	0.00904	0.6	0	26.56	57.29	EI
1369.91	149.9082201	10.7	0.87	2750.07	53.65	0.01581	0.6	0	94.75	29.03	EI
1369.93	68.9932781	2.73	3.98	17206.09	163.2	0.00786	0.6	0	538.33	31.96	EI
1369.93	78.915681	12.71	3.8	1487.22	23.67	0.00884	0.6	0	27.29	54.5	EI
1369.93	147.9108056	10.93	0.8	2793.22	63.44	0.01561	0.6	0	104.7	26.68	EI
1369.94	130.9104228	10.45	2.46	4053.68	22.74	0.01394	0.6	0	114.27	35.47	EI
1369.95	128.9126635	9.04	2.51	4042.33	68.8	0.01375	0.6	0	66.31	60.96	EI
1369.99	92.9163316	56.64	3.62	50.74	10.6	0.01021	0.6	0	18.86	2.69	EI
1370	30.9973457	46.02	3.85	209.88	23.06	0.00413	0.6	0	56.99	3.68	EI
1370.04	49.9955252	21.12	3.28	905.96	31.06	0.006	0.6	0	38.3	23.65	EI
