RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1481.46	30.997573	17.98	3.85	1365.68	33.44	0.00413	0.6	0	150.21	9.09	EI
1481.5	49.995884	24.55	3.28	846.31	29.36	0.006	0.6	0	123.24	6.87	EI
1481.64	61.9949639	66.13	3.77	114.77	12.99	0.00718	0.6	0	38.54	2.98	EI
1481.45	73.9954495	44.5	3.89	179.79	13.21	0.00836	0.6	0	64.74	2.78	EI
1481.56	80.9935818	36.37	3.77	186.47	14.33	0.00904	0.6	0	125.36	1.49	EI
1481.58	92.9932685	14.4	3.62	1304.5	42.67	0.01022	0.6	0	224.26	5.82	EI
1481.45	99.9915386	4.33	3.86	15769.95	146.15	0.01091	0.6	0	197.92	79.68	EI
1481.37	100.9957004	25.52	3.79	340.68	19.03	0.01101	0.6	0	51.3	6.64	EI
1481.48	111.9919421	36.68	3.14	190.61	21.82	0.01209	0.6	0	67.5	2.82	EI
1481.49	130.9901277	4.23	2.46	19887.86	187.99	0.01395	0.6	0	555.45	35.8	EI
1481.5	131.99285	21.38	2.29	610.73	21.06	0.01405	0.6	0	90.37	6.76	EI
