RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1291.18	127.9609326	35.95	2.54	353.83	25.08	0.01366	0.6	0	55.96	6.32	EI
1291.21	109.9603733	41.47	3.25	138.19	13.74	0.01189	0.6	0	26	5.31	EI
1291.26	128.9582879	17.52	2.51	2413.35	43.93	0.01375	0.6	0	110.61	21.82	EI
1291.27	53.9811594	27.38	3.47	913.08	42.43	0.00639	0.6	0	19.44	46.98	EI
1291.31	69.9671731	19.16	3.96	1335.79	39.56	0.00796	0.6	0	66.32	20.14	EI
1291.31	90.9604732	26.64	3.64	399.13	19.06	0.01002	0.6	0	46.55	8.57	EI
1291.31	107.9629448	9.23	3.37	4634.83	81.22	0.01169	0.6	0	243.79	19.01	EI
1291.32	88.9650846	6.89	3.67	9797.99	125.09	0.00983	0.6	0	468.02	20.93	EI
1291.36	126.9618774	3.37	2.56	55070.75	542.74	0.01356	0.6	0	2471.49	22.28	EI
1291.43	50.9687866	15.68	3.33	1006.64	26.6	0.00609	0.6	0	157.49	6.39	EI
