RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1661.63	78.9172977	37.14	3.89	449.76	24.72	0.00863	0.6	0	77.73	5.79	EI
1661.28	80.9150036	34.36	3.87	350.43	18.25	0.0088	0.6	0	91.89	3.81	EI
1660.78	80.992607	52.95	3.87	611.62	37.81	0.00881	0.6	0	258.32	2.37	EI
1661.65	99.9914307	12.69	5.77	1838.21	81.85	0.01047	0.6	0	628.82	2.92	EI
1661.41	109.9145991	38.47	5.9	279.86	15.14	0.01134	0.6	0	54.71	5.12	EI
1661.3	111.9109199	47.84	5.92	264.51	12.33	0.01151	0.6	0	56.66	4.67	EI
1661.51	128.9128013	13.25	3.75	3462.74	59.53	0.013	0.6	0	307.09	11.28	EI
1661.45	130.9108887	15.42	3.34	3163.73	62.7	0.01317	0.6	0	578.5	5.47	EI
1661.63	159.9098018	39.23	1.48	292.28	24.56	0.01571	0.6	0	55.01	5.31	EI
1661.7	161.9078795	34.71	1.51	457.44	17.87	0.01588	0.6	0	30.72	14.89	EI
1661.49	178.910236	8.16	1.58	9442.7	146.25	0.01737	0.6	0	1195	7.9	EI
1661.05	179.9132956	46.85	1.58	128.28	12.99	0.01746	0.6	0	23.41	5.48	EI
1661.54	180.9078475	9.36	1.58	8773.4	123.47	0.01754	0.6	0	1372.13	6.39	EI
1661.66	181.9134561	44.71	1.57	169.59	12.91	0.01763	0.6	0	48.88	3.47	EI
1661.58	188.8330243	38.9	1.55	204.25	21.9	0.01824	0.6	0	50.02	4.08	EI
1661.42	190.8322201	28.54	1.55	497.71	27.61	0.01841	0.6	0	67.32	7.39	EI
1661.49	192.8287141	25.33	1.54	339.34	11.57	0.01859	0.6	0	65.88	5.15	EI
1661.25	238.8299791	41.38	1.21	114.23	9.05	0.02261	0.6	0	57.63	1.98	EI
1661.62	240.8309119	17.29	0.98	205.2	24.09	0.02278	0.6	0	28.42	7.22	EI
1661.28	257.8281562	32.02	0.68	346.22	34.73	0.02427	0.6	0	58.06	5.96	EI
1661.56	259.8255905	19.52	0.68	784.27	22.24	0.02444	0.6	0	97.8	8.02	EI
1661.83	261.8240335	25.12	0.67	352.27	14.75	0.02462	0.6	0	66.25	5.32	EI
